"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allstarFlag","allNBAFlag"
Dave Cowens,"1980",8.1,3.1,2.0,14.2,0.477,0.121,0.744,1,0
Larry Bird,"1980",10.4,4.5,2.4,21.3,0.538,0.182,0.744,1,1
Kareem Abdul-Jabbar,"1980",10.8,4.5,4.4,24.8,0.639,0.227,0.732,1,1
Magic Johnson,"1980",7.7,7.3,3.0,18.0,0.602,0.18,0.732,1,0
Dennis Johnson,"1980",5.1,4.1,2.8,19.0,0.489,0.12,0.683,1,1
Gus Williams,"1980",3.4,4.8,2.9,22.1,0.529,0.187,0.683,0,1
Jack Sikma,"1980",11.1,3.4,1.8,14.3,0.526,0.148,0.683,1,0
Julius Erving,"1980",7.4,4.6,4.0,26.9,0.568,0.213,0.72,1,1
Marques Johnson,"1980",7.4,3.5,2.2,21.7,0.585,0.206,0.598,1,1
Paul Westphal,"1980",2.3,5.1,1.9,21.9,0.593,0.189,0.671,1,1
Walter Davis,"1980",3.6,4.5,1.8,21.5,0.608,0.173,0.671,1,0
Otis Birdsong,"1980",4.0,2.5,1.9,22.7,0.538,0.143,0.573,1,0
Scott Wedman,"1980",5.7,2.1,1.9,19.0,0.541,0.145,0.573,1,0
Dan Roundfield,"1980",10.3,2.3,3.0,16.5,0.551,0.169,0.61,1,1
Eddie Johnson,"1980",2.5,4.7,1.8,18.5,0.538,0.15,0.61,1,0
John Drew,"1980",5.9,1.3,1.4,19.5,0.532,0.134,0.61,1,0
Moses Malone,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1,1
George Gervin,"1980",5.2,2.6,2.4,33.1,0.587,0.173,0.5,1,1
Kermit Washington,"1980",10.5,2.1,2.6,13.4,0.584,0.165,0.463,1,0
Bill Cartwright,"1980",8.9,2.0,1.8,21.7,0.608,0.148,0.476,1,0
Micheal Ray Richardson,"1980",6.6,10.1,3.7,15.3,0.517,0.094,0.476,1,0
Elvin Hayes,"1980",11.1,1.6,3.1,23.0,0.492,0.094,0.476,1,0
World B. Free,"1980",3.5,4.2,1.7,30.2,0.544,0.148,0.427,1,0
Bobby Jones,"1981",5.4,2.8,2.1,13.5,0.604,0.217,0.756,1,0
Julius Erving,"1981",8.0,4.4,3.9,24.6,0.572,0.231,0.756,1,1
Marques Johnson,"1981",6.8,4.6,2.1,20.3,0.583,0.211,0.732,1,1
Larry Bird,"1981",10.9,5.5,2.7,21.2,0.528,0.16,0.756,1,1
Robert Parish,"1981",9.5,1.8,3.6,18.9,0.579,0.228,0.756,1,0
Tiny Archibald,"1981",2.2,7.7,1.2,13.8,0.582,0.118,0.756,0,1
Dennis Johnson,"1981",4.6,3.7,2.5,18.8,0.516,0.154,0.695,1,1
Truck Robinson,"1981",9.6,2.5,1.3,18.8,0.531,0.119,0.695,1,0
Walter Davis,"1981",2.6,3.9,1.4,18.0,0.579,0.157,0.695,1,0
Jamaal Wilkes,"1981",5.4,2.9,1.9,22.6,0.556,0.135,0.659,1,0
Kareem Abdul-Jabbar,"1981",10.3,3.4,3.6,26.2,0.616,0.23,0.659,1,1
George Gervin,"1981",5.1,3.2,1.8,27.1,0.555,0.182,0.634,1,1
Artis Gilmore,"1981",10.1,2.1,3.0,17.9,0.699,0.208,0.549,1,0
Reggie Theus,"1981",3.5,5.2,1.7,18.9,0.578,0.156,0.549,1,0
Micheal Ray Richardson,"1981",6.9,7.9,3.4,16.4,0.511,0.104,0.61,1,0
Moses Malone,"1981",14.8,1.8,2.9,27.8,0.585,0.202,0.488,1,1
Otis Birdsong,"1981",3.6,3.3,1.6,24.6,0.58,0.152,0.488,1,1
Jack Sikma,"1981",10.4,3.0,2.1,18.7,0.512,0.132,0.415,1,0
Paul Westphal,"1981",1.9,4.1,1.7,16.7,0.517,0.106,0.415,1,0
Dan Roundfield,"1981",10.1,2.6,3.1,17.6,0.575,0.159,0.378,1,0
Eddie Johnson,"1981",2.4,5.4,1.8,19.1,0.554,0.122,0.378,1,0
Mike Mitchell,"1981",6.1,1.7,1.4,24.5,0.513,0.091,0.341,1,0
Larry Bird,"1982",10.9,5.8,2.7,22.9,0.557,0.205,0.768,1,1
Robert Parish,"1982",10.8,1.8,3.3,19.9,0.571,0.19,0.768,1,1
Bobby Jones,"1982",5.2,2.5,2.8,14.4,0.62,0.181,0.707,1,0
Julius Erving,"1982",6.9,3.9,3.7,24.4,0.593,0.229,0.707,1,1
Bob Lanier,"1982",5.2,3.0,1.7,13.5,0.596,0.16,0.671,1,0
Sidney Moncrief,"1982",6.7,4.8,2.0,19.8,0.601,0.216,0.671,1,1
Kareem Abdul-Jabbar,"1982",8.7,3.0,3.6,23.9,0.608,0.192,0.695,1,0
Magic Johnson,"1982",9.6,9.5,3.1,18.6,0.59,0.207,0.695,1,1
Norm Nixon,"1982",2.1,8.0,1.7,17.6,0.525,0.104,0.695,1,0
Gus Williams,"1982",3.1,6.9,2.6,23.4,0.526,0.171,0.634,1,1
Jack Sikma,"1982",12.7,3.4,2.5,19.6,0.559,0.199,0.634,1,0
Lonnie Shelton,"1982",6.3,3.1,1.8,14.9,0.523,0.105,0.634,1,0
Dennis Johnson,"1982",5.1,4.6,2.0,19.5,0.54,0.132,0.561,1,0
George Gervin,"1982",5.0,2.4,1.5,32.3,0.562,0.182,0.585,1,1
Bernard King,"1982",5.9,3.6,1.3,23.2,0.6,0.147,0.549,1,1
Buck Williams,"1982",12.3,1.3,2.0,15.5,0.603,0.152,0.537,1,0
Dan Roundfield,"1982",11.8,2.7,2.6,18.6,0.527,0.141,0.512,1,0
Alex English,"1982",6.8,5.3,2.5,25.4,0.596,0.152,0.561,1,1
Moses Malone,"1982",14.7,1.8,2.5,31.1,0.576,0.218,0.561,1,1
Isiah Thomas,"1982",2.9,7.8,2.3,17.0,0.487,0.046,0.476,1,0
Kelly Tripucka,"1982",5.4,3.3,1.3,21.6,0.57,0.117,0.476,1,0
Artis Gilmore,"1982",10.2,1.7,3.3,18.5,0.702,0.208,0.415,1,0
Micheal Ray Richardson,"1982",6.9,7.0,3.1,17.9,0.498,0.086,0.402,1,0
Andrew Toney,"1983",2.8,4.5,1.2,19.7,0.558,0.141,0.793,1,0
Julius Erving,"1983",6.8,3.7,3.4,21.4,0.566,0.217,0.793,1,1
Maurice Cheeks,"1983",2.6,6.9,2.7,12.5,0.582,0.183,0.793,1,0
Moses Malone,"1983",15.3,1.3,3.2,24.5,0.578,0.248,0.793,1,1
Jamaal Wilkes,"1983",4.3,2.3,1.0,19.6,0.558,0.139,0.707,1,0
Kareem Abdul-Jabbar,"1983",7.5,2.5,2.9,21.8,0.619,0.205,0.707,1,1
Magic Johnson,"1983",8.6,10.5,2.8,16.8,0.603,0.207,0.707,1,1
Larry Bird,"1983",11.0,5.8,2.8,23.6,0.561,0.225,0.683,1,1
Robert Parish,"1983",10.6,1.8,2.9,19.3,0.582,0.211,0.683,1,0
Maurice Lucas,"1983",10.4,2.8,1.3,16.5,0.528,0.132,0.646,1,0
Marques Johnson,"1983",7.0,4.5,2.0,21.4,0.543,0.18,0.622,1,0
Sidney Moncrief,"1983",5.8,3.9,1.8,22.5,0.602,0.233,0.622,1,1
Artis Gilmore,"1983",12.0,1.5,2.8,18.0,0.668,0.189,0.646,1,0
George Gervin,"1983",4.6,3.4,2.0,26.2,0.561,0.159,0.646,1,1
David Thompson,"1983",3.6,3.0,1.1,15.9,0.545,0.12,0.585,1,0
Gus Williams,"1983",2.6,8.0,2.6,20.0,0.517,0.148,0.585,1,0
Jack Sikma,"1983",11.4,3.1,2.0,18.2,0.546,0.183,0.585,1,0
Buck Williams,"1983",12.5,1.5,2.5,17.0,0.611,0.185,0.598,1,1
Jim Paxson,"1983",2.1,2.9,1.9,21.7,0.573,0.178,0.561,1,0
Alex English,"1983",7.3,4.8,3.0,28.4,0.561,0.166,0.549,1,1
Kiki Vandeweghe,"1983",5.3,2.5,1.3,26.7,0.613,0.182,0.549,1,0
Bill Laimbeer,"1983",12.1,3.2,2.1,13.6,0.552,0.142,0.451,1,0
Isiah Thomas,"1983",4.0,7.8,2.8,22.9,0.525,0.115,0.451,1,1
Reggie Theus,"1983",3.7,5.9,2.0,23.8,0.541,0.11,0.341,1,0
Kevin McHale,"1984",7.4,1.3,1.8,18.4,0.605,0.196,0.756,1,0
Larry Bird,"1984",10.1,6.6,2.7,24.2,0.552,0.215,0.756,1,1
Robert Parish,"1984",10.7,1.7,2.1,19.0,0.584,0.175,0.756,1,0
Sidney Moncrief,"1984",6.7,4.5,1.7,20.9,0.591,0.198,0.61,1,1
Bernard King,"1984",5.1,2.1,1.2,26.3,0.619,0.218,0.573,1,1
Kareem Abdul-Jabbar,"1984",7.3,2.6,2.5,21.5,0.608,0.163,0.659,1,1
Magic Johnson,"1984",7.3,13.1,3.0,17.6,0.628,0.191,0.659,1,1
Jim Paxson,"1984",2.1,3.1,1.6,21.3,0.573,0.17,0.585,1,1
Bill Laimbeer,"1984",12.2,1.8,1.6,17.3,0.59,0.181,0.598,1,0
Isiah Thomas,"1984",4.0,11.1,2.9,21.3,0.52,0.144,0.598,1,1
Kelly Tripucka,"1984",4.0,3.0,1.1,21.3,0.53,0.109,0.598,1,0
Andrew Toney,"1984",2.5,4.8,1.2,20.4,0.597,0.12,0.634,1,0
Julius Erving,"1984",6.9,4.0,3.6,22.4,0.562,0.18,0.634,1,1
Moses Malone,"1984",13.4,1.4,2.5,22.7,0.566,0.175,0.634,1,1
Otis Birdsong,"1984",2.5,3.9,1.5,19.8,0.53,0.1,0.549,1,0
Walter Davis,"1984",2.6,5.5,1.5,20.0,0.559,0.118,0.5,1,0
Mark Aguirre,"1984",5.9,4.5,1.3,29.5,0.572,0.149,0.524,1,0
Jack Sikma,"1984",11.1,4.0,2.3,19.1,0.572,0.156,0.512,1,0
George Gervin,"1984",4.1,2.9,1.7,25.9,0.551,0.102,0.451,1,0
Alex English,"1984",5.7,5.0,2.2,26.4,0.57,0.136,0.463,1,0
Kiki Vandeweghe,"1984",4.8,3.1,1.3,29.4,0.618,0.181,0.463,1,0
Ralph Sampson,"1984",11.1,2.0,3.3,21.0,0.551,0.108,0.354,1,0
Jeff Ruland,"1984",12.3,3.9,1.9,22.2,0.633,0.144,0.427,1,0
Kareem Abdul-Jabbar,"1985",7.9,3.2,2.8,22.0,0.628,0.204,0.756,1,1
Magic Johnson,"1985",6.2,12.6,1.8,18.3,0.637,0.22,0.756,1,1
Sidney Moncrief,"1985",5.4,5.2,2.1,21.7,0.565,0.197,0.72,1,1
Terry Cummings,"1985",9.1,2.9,2.3,23.6,0.536,0.189,0.72,1,1
Dennis Johnson,"1985",4.0,6.8,1.7,15.7,0.522,0.103,0.768,1,0
Larry Bird,"1985",10.5,6.6,2.8,28.7,0.585,0.238,0.768,1,1
Robert Parish,"1985",10.6,1.6,2.0,17.6,0.586,0.151,0.768,1,0
Julius Erving,"1985",5.3,3.0,3.1,20.0,0.546,0.144,0.707,1,0
Moses Malone,"1985",13.1,1.6,2.4,24.6,0.577,0.193,0.707,1,1
Bill Laimbeer,"1985",12.4,1.9,1.7,17.5,0.548,0.162,0.561,1,0
Isiah Thomas,"1985",4.5,13.9,2.6,21.2,0.529,0.173,0.561,1,1
Alex English,"1985",5.7,4.2,1.8,27.9,0.561,0.146,0.634,1,0
Calvin Natt,"1985",7.8,3.1,1.4,23.3,0.604,0.185,0.634,1,0
Rolando Blackman,"1985",3.7,3.6,1.0,19.7,0.566,0.123,0.537,1,0
Hakeem Olajuwon,"1985",11.9,1.4,3.9,20.6,0.564,0.168,0.585,1,0
Ralph Sampson,"1985",10.4,2.7,3.0,22.1,0.533,0.096,0.585,1,1
George Gervin,"1985",3.3,2.5,1.6,21.2,0.564,0.106,0.5,1,0
Micheal Ray Richardson,"1985",5.6,8.2,3.2,20.1,0.513,0.134,0.512,1,0
Jeff Ruland,"1985",11.1,4.4,1.6,18.9,0.617,0.111,0.488,1,0
Michael Jordan,"1985",6.5,5.9,3.2,28.2,0.592,0.213,0.463,1,1
Larry Nance,"1985",8.8,2.6,3.1,19.9,0.612,0.173,0.439,1,0
Norm Nixon,"1985",2.7,8.8,1.2,17.2,0.507,0.061,0.378,1,0
Bernard King,"1985",5.8,3.7,1.6,32.9,0.585,0.166,0.293,1,1
Jack Sikma,"1985",10.6,4.2,2.6,18.5,0.564,0.166,0.378,1,0
Kevin McHale,"1986",8.1,2.7,2.4,21.3,0.623,0.22,0.817,1,0
Larry Bird,"1986",9.8,6.8,2.6,25.8,0.58,0.244,0.817,1,1
Robert Parish,"1986",9.5,1.8,2.2,16.1,0.586,0.171,0.817,1,0
Sidney Moncrief,"1986",4.6,4.9,1.7,20.2,0.604,0.219,0.695,1,1
James Worthy,"1986",5.2,2.7,2.1,20.0,0.613,0.185,0.756,1,0
Kareem Abdul-Jabbar,"1986",6.1,3.5,2.5,23.4,0.603,0.197,0.756,1,1
Magic Johnson,"1986",5.9,12.6,1.8,18.8,0.61,0.226,0.756,1,1
Hakeem Olajuwon,"1986",11.5,2.0,5.4,23.5,0.56,0.186,0.622,1,1
Ralph Sampson,"1986",11.1,3.6,2.9,18.9,0.516,0.084,0.622,1,0
Dominique Wilkins,"1986",7.9,2.6,2.4,30.3,0.536,0.17,0.61,1,1
Charles Barkley,"1986",12.8,3.9,3.7,20.0,0.619,0.176,0.659,0,1
Julius Erving,"1986",5.0,3.4,2.6,18.1,0.537,0.114,0.659,1,0
Maurice Cheeks,"1986",2.9,9.2,2.9,15.4,0.597,0.155,0.659,1,0
Moses Malone,"1986",11.8,1.2,1.9,23.8,0.553,0.157,0.659,1,0
Alex English,"1986",5.0,4.0,1.3,29.8,0.562,0.156,0.573,1,1
Rolando Blackman,"1986",3.5,3.3,1.3,21.5,0.576,0.121,0.537,1,0
Isiah Thomas,"1986",3.6,10.8,2.5,20.9,0.554,0.151,0.561,1,1
Clyde Drexler,"1986",5.6,8.0,3.2,18.5,0.53,0.124,0.488,1,0
Alvin Robertson,"1986",6.3,5.5,4.2,17.0,0.563,0.143,0.427,1,1
Artis Gilmore,"1986",8.5,1.4,2.1,16.7,0.661,0.143,0.427,1,0
Jeff Malone,"1986",3.6,2.4,1.0,22.4,0.533,0.098,0.476,1,0
Buck Williams,"1986",12.0,1.6,2.1,15.9,0.565,0.106,0.476,1,0
Michael Jordan,"1986",3.6,2.9,3.2,22.7,0.533,0.16,0.366,1,0
Patrick Ewing,"1986",9.0,2.0,3.1,20.0,0.526,0.084,0.28,1,0
Marques Johnson,"1986",5.5,3.8,2.1,20.3,0.555,0.108,0.39,1,0
James Worthy,"1987",5.7,2.8,2.3,19.4,0.578,0.158,0.793,1,0
Kareem Abdul-Jabbar,"1987",6.7,2.6,1.9,17.5,0.597,0.148,0.793,1,0
Magic Johnson,"1987",6.3,12.2,2.2,23.9,0.602,0.263,0.793,1,1
Dominique Wilkins,"1987",6.3,3.3,2.1,29.0,0.543,0.197,0.695,1,1
Kevin McHale,"1987",9.9,2.6,2.7,26.1,0.655,0.232,0.72,1,1
Larry Bird,"1987",9.2,7.6,2.8,28.1,0.612,0.243,0.72,1,1
Robert Parish,"1987",10.6,2.2,2.6,17.5,0.588,0.147,0.72,1,0
Mark Aguirre,"1987",5.3,3.2,1.4,25.7,0.56,0.16,0.671,1,0
Rolando Blackman,"1987",3.5,3.3,1.1,21.0,0.569,0.14,0.671,1,0
Bill Laimbeer,"1987",11.6,1.8,1.7,15.4,0.559,0.176,0.634,1,0
Isiah Thomas,"1987",3.9,10.0,2.1,20.6,0.528,0.121,0.634,1,1
Hakeem Olajuwon,"1987",11.4,2.9,5.3,23.4,0.554,0.189,0.512,1,1
Ralph Sampson,"1987",8.7,2.8,2.3,15.6,0.518,0.078,0.512,1,0
Michael Jordan,"1987",5.2,4.6,4.4,37.1,0.562,0.247,0.488,1,1
Tom Chambers,"1987",6.6,3.0,1.6,23.3,0.554,0.118,0.476,1,0
Charles Barkley,"1987",14.6,4.9,3.3,23.0,0.66,0.21,0.549,1,1
Julius Erving,"1987",4.4,3.2,2.8,16.8,0.527,0.088,0.549,1,0
Maurice Cheeks,"1987",3.2,7.9,2.9,15.6,0.579,0.145,0.549,1,0
Alex English,"1987",4.2,5.1,1.1,28.6,0.549,0.126,0.451,1,0
Fat Lever,"1987",8.9,8.0,2.9,18.9,0.515,0.153,0.451,0,1
Jeff Malone,"1987",2.7,3.7,1.1,22.0,0.518,0.097,0.512,1,0
Moses Malone,"1987",11.3,1.6,2.1,24.1,0.545,0.182,0.512,1,1
Walter Davis,"1987",3.1,4.6,1.3,23.6,0.562,0.105,0.439,1,0
Joe Barry Carroll,"1987",7.3,2.6,2.7,21.2,0.521,0.082,0.512,1,0
Sleepy Floyd,"1987",3.3,10.3,2.0,18.8,0.608,0.157,0.512,1,0
Alvin Robertson,"1987",5.2,5.2,3.6,17.7,0.51,0.094,0.341,1,0
Danny Ainge,"1988",3.1,6.2,1.6,15.7,0.598,0.136,0.695,1,0
Kevin McHale,"1988",8.4,2.7,1.9,22.6,0.656,0.205,0.695,1,0
Larry Bird,"1988",9.3,6.1,2.4,29.9,0.608,0.243,0.695,1,1
James Worthy,"1988",5.0,3.9,1.7,19.7,0.571,0.143,0.756,1,0
Kareem Abdul-Jabbar,"1988",6.0,1.7,1.8,14.6,0.57,0.111,0.756,1,0
Magic Johnson,"1988",6.2,11.9,1.8,19.6,0.581,0.199,0.756,1,1
Isiah Thomas,"1988",3.4,8.4,2.0,19.5,0.521,0.124,0.659,1,0
James Donaldson,"1988",9.3,0.8,1.8,7.0,0.616,0.119,0.646,1,0
Mark Aguirre,"1988",5.6,3.6,1.6,25.1,0.539,0.163,0.646,1,0
Clyde Drexler,"1988",6.6,5.8,3.1,27.0,0.564,0.207,0.646,1,1
Steve Johnson,"1988",5.6,1.3,1.1,15.4,0.554,0.058,0.646,1,0
Alex English,"1988",4.7,4.7,1.2,25.0,0.535,0.129,0.659,1,0
Fat Lever,"1988",8.1,7.8,3.0,18.9,0.516,0.163,0.659,1,0
Doc Rivers,"1988",4.6,9.3,2.3,14.2,0.527,0.159,0.61,1,0
Dominique Wilkins,"1988",6.4,2.9,1.9,30.7,0.534,0.16,0.61,1,1
Michael Jordan,"1988",5.5,5.9,4.8,35.0,0.603,0.308,0.61,1,1
Xavier McDaniel,"1988",6.6,3.4,1.9,21.4,0.528,0.11,0.537,1,0
Hakeem Olajuwon,"1988",12.1,2.1,4.8,22.8,0.555,0.182,0.561,1,1
Brad Daugherty,"1988",8.4,4.2,1.3,18.7,0.563,0.107,0.512,1,0
Patrick Ewing,"1988",8.2,1.5,4.3,20.2,0.594,0.154,0.463,1,1
Moses Malone,"1988",11.2,1.4,1.7,20.3,0.577,0.163,0.463,1,0
Charles Barkley,"1988",11.9,3.2,2.5,28.3,0.665,0.253,0.439,1,1
Maurice Cheeks,"1988",3.2,8.0,2.4,13.7,0.551,0.138,0.439,1,0
Alvin Robertson,"1988",6.1,6.8,3.8,19.6,0.513,0.094,0.378,1,0
Brad Daugherty,"1989",9.2,3.7,1.3,18.9,0.594,0.164,0.695,1,0
Larry Nance,"1989",8.0,2.2,3.6,17.2,0.59,0.197,0.695,1,0
Mark Price,"1989",3.0,8.4,1.6,18.9,0.623,0.199,0.695,1,1
Kevin Johnson,"1989",4.2,12.2,2.0,20.4,0.597,0.184,0.671,0,1
Tom Chambers,"1989",8.4,2.9,1.8,25.7,0.547,0.146,0.671,1,1
James Worthy,"1989",6.0,3.6,2.0,20.5,0.582,0.158,0.695,1,0
Kareem Abdul-Jabbar,"1989",4.5,1.0,1.7,10.1,0.511,0.082,0.695,1,0
Magic Johnson,"1989",7.9,12.8,2.1,22.5,0.625,0.267,0.695,1,1
Isiah Thomas,"1989",3.4,8.3,1.9,18.2,0.528,0.115,0.768,1,0
Dominique Wilkins,"1989",6.9,2.6,2.1,26.2,0.528,0.166,0.634,1,1
Moses Malone,"1989",11.8,1.4,2.2,20.2,0.581,0.178,0.634,1,0
Terry Cummings,"1989",8.1,2.5,2.2,22.9,0.518,0.131,0.598,1,1
Mark Jackson,"1989",4.7,8.6,2.0,16.9,0.535,0.14,0.634,1,0
Patrick Ewing,"1989",9.3,2.4,5.0,22.7,0.607,0.181,0.634,1,1
Dale Ellis,"1989",4.2,2.0,1.6,27.5,0.589,0.163,0.573,1,1
Alex English,"1989",4.0,4.7,1.0,26.5,0.531,0.11,0.537,1,0
Charles Barkley,"1989",12.5,4.1,2.4,25.8,0.653,0.25,0.561,1,1
Michael Jordan,"1989",8.0,8.0,3.7,32.5,0.614,0.292,0.573,1,1
Clyde Drexler,"1989",7.9,5.8,3.4,27.2,0.555,0.197,0.476,1,0
Kevin Duckworth,"1989",8.0,0.8,1.3,18.1,0.531,0.086,0.476,1,0
Kevin McHale,"1989",8.2,2.2,1.6,22.5,0.608,0.168,0.512,1,0
Robert Parish,"1989",12.5,2.2,2.4,18.6,0.607,0.177,0.512,0,1
Hakeem Olajuwon,"1989",13.5,1.8,6.0,24.8,0.552,0.197,0.549,1,1
Chris Mullin,"1989",5.9,5.1,2.6,26.5,0.581,0.165,0.524,1,1
James Worthy,"1990",6.0,3.6,1.9,21.1,0.586,0.172,0.768,1,1
Magic Johnson,"1990",6.6,11.5,2.1,22.3,0.622,0.27,0.768,1,1
Kevin Johnson,"1990",3.6,11.4,1.5,22.5,0.585,0.2,0.659,1,1
Tom Chambers,"1990",7.0,2.3,1.7,27.2,0.579,0.176,0.659,1,1
Dennis Rodman,"1990",9.7,0.9,1.4,8.8,0.608,0.189,0.72,1,0
Isiah Thomas,"1990",3.8,9.4,2.0,18.4,0.501,0.107,0.72,1,0
Joe Dumars,"1990",2.8,4.9,0.9,17.8,0.555,0.162,0.72,1,1
Clyde Drexler,"1990",6.9,5.9,2.7,23.3,0.551,0.208,0.72,1,1
Charles Barkley,"1990",11.5,3.9,2.5,25.2,0.661,0.269,0.646,1,1
Kevin McHale,"1990",8.3,2.1,2.3,20.9,0.623,0.195,0.634,1,0
Larry Bird,"1990",9.5,7.5,2.2,24.3,0.546,0.154,0.634,1,1
Robert Parish,"1990",10.1,1.3,1.4,15.7,0.616,0.157,0.634,1,0
David Robinson,"1990",12.0,2.0,5.6,24.3,0.597,0.241,0.683,1,1
Michael Jordan,"1990",6.9,6.3,3.4,33.6,0.606,0.285,0.671,1,1
Scottie Pippen,"1990",6.7,5.4,3.8,16.5,0.528,0.087,0.671,1,0
Hakeem Olajuwon,"1990",14.0,2.9,6.7,24.3,0.541,0.173,0.5,1,1
Patrick Ewing,"1990",10.9,2.2,4.9,28.6,0.599,0.205,0.549,1,1
Fat Lever,"1990",9.3,6.5,2.3,18.3,0.504,0.149,0.524,1,0
Dominique Wilkins,"1990",6.5,2.5,2.2,26.7,0.556,0.184,0.5,1,0
Reggie Miller,"1990",3.6,3.8,1.6,24.6,0.645,0.182,0.512,1,0
Rolando Blackman,"1990",3.5,3.6,1.2,19.4,0.552,0.111,0.573,1,0
Chris Mullin,"1990",5.9,4.1,2.2,25.1,0.643,0.174,0.451,1,1
Michael Jordan,"1991",6.0,5.5,3.7,31.5,0.605,0.321,0.744,1,1
Clyde Drexler,"1991",6.7,6.0,2.5,21.5,0.563,0.209,0.768,1,1
Kevin Duckworth,"1991",6.6,1.1,0.8,15.8,0.525,0.082,0.768,1,0
Terry Porter,"1991",3.5,8.0,2.1,17.0,0.632,0.235,0.768,1,0
James Worthy,"1991",4.6,3.5,1.8,21.4,0.531,0.143,0.707,1,1
Magic Johnson,"1991",7.0,12.5,1.5,19.4,0.623,0.251,0.707,1,1
Kevin Johnson,"1991",3.5,10.1,2.3,22.2,0.604,0.22,0.671,1,1
Tom Chambers,"1991",6.4,2.6,1.5,19.9,0.513,0.105,0.671,1,0
Kevin McHale,"1991",7.1,1.9,2.5,18.4,0.606,0.182,0.683,1,0
Larry Bird,"1991",8.5,7.2,2.8,19.4,0.53,0.14,0.683,1,0
Robert Parish,"1991",10.6,0.8,2.1,14.9,0.637,0.198,0.683,1,0
David Robinson,"1991",13.0,2.5,5.5,25.6,0.615,0.264,0.671,1,1
Isiah Thomas,"1991",3.3,9.3,1.8,16.2,0.507,0.098,0.61,1,0
Joe Dumars,"1991",2.3,5.5,1.2,20.4,0.552,0.155,0.61,1,1
Hakeem Olajuwon,"1991",13.8,2.3,6.1,21.2,0.549,0.201,0.634,0,1
Alvin Robertson,"1991",5.7,5.5,3.2,13.6,0.538,0.142,0.585,1,0
Chris Mullin,"1991",5.4,4.0,2.9,25.7,0.618,0.176,0.537,1,1
Tim Hardaway,"1991",4.0,9.7,2.8,22.9,0.547,0.148,0.537,1,0
Dominique Wilkins,"1991",9.0,3.3,2.3,25.9,0.555,0.177,0.524,1,1
Patrick Ewing,"1991",11.2,3.0,4.2,26.6,0.561,0.155,0.476,1,1
Charles Barkley,"1991",10.1,4.2,2.1,27.6,0.635,0.258,0.537,1,1
Hersey Hawkins,"1991",3.9,3.7,2.7,22.1,0.592,0.151,0.537,1,0
Brad Daugherty,"1991",10.9,3.3,1.6,21.6,0.583,0.147,0.402,1,0
Bernard King,"1991",5.0,4.6,1.1,28.4,0.527,0.07,0.366,1,1
Michael Jordan,"1992",6.4,6.1,3.2,30.1,0.579,0.274,0.817,1,1
Scottie Pippen,"1992",7.7,7.0,3.0,21.0,0.555,0.192,0.817,1,1
Clyde Drexler,"1992",6.6,6.7,2.7,25.0,0.56,0.223,0.695,1,1
Dan Majerle,"1992",5.9,3.3,2.1,17.3,0.551,0.165,0.646,1,0
Jeff Hornacek,"1992",5.0,5.1,2.3,20.1,0.592,0.181,0.646,1,0
Kevin Johnson,"1992",3.7,10.7,1.8,19.7,0.561,0.165,0.646,0,1
Brad Daugherty,"1992",10.4,3.6,2.0,21.5,0.629,0.213,0.695,1,1
Mark Price,"1992",2.4,7.4,1.5,17.3,0.61,0.205,0.695,1,1
Patrick Ewing,"1992",11.2,1.9,4.1,24.0,0.563,0.198,0.622,1,1
Larry Bird,"1992",9.6,6.8,1.7,20.2,0.547,0.159,0.622,1,0
Reggie Lewis,"1992",4.8,2.3,2.8,20.8,0.55,0.143,0.622,1,0
Chris Mullin,"1992",5.6,3.5,2.9,25.6,0.586,0.155,0.671,1,1
Tim Hardaway,"1992",3.8,10.0,2.2,23.4,0.537,0.132,0.671,1,1
David Robinson,"1992",12.2,2.7,6.8,23.2,0.597,0.26,0.573,1,1
Dennis Rodman,"1992",18.7,2.3,1.7,9.8,0.574,0.183,0.585,1,1
Isiah Thomas,"1992",3.2,7.2,1.7,18.5,0.505,0.095,0.585,1,0
Joe Dumars,"1992",2.3,4.6,1.0,19.9,0.538,0.123,0.585,1,0
James Worthy,"1992",5.6,4.7,1.8,19.9,0.49,0.07,0.524,1,0
Charles Barkley,"1992",11.1,4.1,2.4,23.1,0.612,0.205,0.427,1,1
Dominique Wilkins,"1992",7.0,3.8,1.8,28.1,0.552,0.152,0.463,1,0
Kevin Willis,"1992",15.5,2.1,1.6,18.3,0.535,0.143,0.463,1,1
Hakeem Olajuwon,"1992",12.1,2.2,6.2,21.6,0.553,0.178,0.512,1,0
Otis Thorpe,"1992",10.5,3.0,1.1,17.3,0.619,0.14,0.512,1,0
Michael Adams,"1992",4.0,7.6,2.0,18.1,0.506,0.09,0.305,1,0
Dikembe Mutombo,"1992",12.3,2.2,3.6,16.6,0.54,0.086,0.293,1,0
Shawn Kemp,"1993",10.7,2.0,3.4,17.8,0.547,0.169,0.671,1,0
Michael Jordan,"1993",6.7,5.5,3.6,32.6,0.564,0.27,0.695,1,1
Scottie Pippen,"1993",7.7,6.3,3.0,18.6,0.51,0.132,0.695,1,1
Brad Daugherty,"1993",10.2,4.4,1.5,20.2,0.635,0.226,0.659,1,0
