"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Hakeem Olajuwon,"1987",24,11.4,2.9,1.9,3.4,3.0,23.4,0.554,0.004,0.428,0.189,0.512,1,1
Michael Jordan,"1987",23,5.2,4.6,2.9,1.5,3.3,37.1,0.562,0.029,0.427,0.247,0.488,1,1
Charles Barkley,"1987",23,14.6,4.9,1.8,1.5,4.7,23.0,0.66,0.111,0.602,0.21,0.549,1,1
Moses Malone,"1987",31,11.3,1.6,0.8,1.3,2.8,24.1,0.545,0.008,0.528,0.182,0.512,1,1
Larry Bird,"1988",31,9.3,6.1,1.6,0.8,2.8,29.9,0.608,0.142,0.271,0.243,0.695,1,1
Magic Johnson,"1988",28,6.2,11.9,1.6,0.2,3.7,19.6,0.581,0.056,0.491,0.199,0.756,1,1
Clyde Drexler,"1988",25,6.6,5.8,2.5,0.6,2.9,27.0,0.564,0.031,0.35,0.207,0.646,1,1
Dominique Wilkins,"1988",28,6.4,2.9,1.3,0.6,2.8,30.7,0.534,0.066,0.335,0.16,0.61,1,1
Michael Jordan,"1988",24,5.5,5.9,3.2,1.6,3.1,35.0,0.603,0.027,0.43,0.308,0.61,1,1
Hakeem Olajuwon,"1988",25,12.1,2.1,2.1,2.7,3.1,22.8,0.555,0.003,0.396,0.182,0.561,1,1
Patrick Ewing,"1988",25,8.2,1.5,1.3,3.0,3.5,20.2,0.594,0.003,0.402,0.154,0.463,1,1
Charles Barkley,"1988",24,11.9,3.2,1.3,1.3,3.8,28.3,0.665,0.122,0.741,0.253,0.439,1,1
Mark Price,"1989",24,3.0,8.4,1.5,0.1,2.8,18.9,0.623,0.21,0.29,0.199,0.695,1,1
Tom Chambers,"1989",29,8.4,2.9,1.1,0.7,2.9,25.7,0.547,0.052,0.364,0.146,0.671,1,1
Magic Johnson,"1989",29,7.9,12.8,1.8,0.3,4.1,22.5,0.625,0.165,0.495,0.267,0.695,1,1
Dominique Wilkins,"1989",29,6.9,2.6,1.5,0.7,2.3,26.2,0.528,0.06,0.298,0.166,0.634,1,1
Terry Cummings,"1989",27,8.1,2.5,1.3,0.9,2.5,22.9,0.518,0.01,0.294,0.131,0.598,1,1
Patrick Ewing,"1989",26,9.3,2.4,1.5,3.5,3.3,22.7,0.607,0.005,0.378,0.181,0.634,1,1
Dale Ellis,"1989",28,4.2,2.0,1.3,0.3,2.7,27.5,0.589,0.198,0.27,0.163,0.573,1,1
Charles Barkley,"1989",25,12.5,4.1,1.6,0.8,3.2,25.8,0.653,0.134,0.661,0.25,0.561,1,1
Michael Jordan,"1989",25,8.0,8.0,2.9,0.8,3.6,32.5,0.614,0.055,0.442,0.292,0.573,1,1
Hakeem Olajuwon,"1989",26,13.5,1.8,2.6,3.4,3.4,24.8,0.552,0.006,0.419,0.197,0.549,1,1
Chris Mullin,"1989",25,5.9,5.1,2.1,0.5,3.6,26.5,0.581,0.061,0.339,0.165,0.524,1,1
James Worthy,"1990",28,6.0,3.6,1.2,0.6,2.0,21.1,0.586,0.038,0.244,0.172,0.768,1,1
Magic Johnson,"1990",30,6.6,11.5,1.7,0.4,3.7,22.3,0.622,0.243,0.56,0.27,0.768,1,1
Kevin Johnson,"1990",23,3.6,11.4,1.3,0.2,3.6,22.5,0.585,0.035,0.516,0.2,0.659,1,1
Tom Chambers,"1990",30,7.0,2.3,1.1,0.6,2.7,27.2,0.579,0.053,0.4,0.176,0.659,1,1
Joe Dumars,"1990",26,2.8,4.9,0.8,0.0,1.9,17.8,0.555,0.052,0.312,0.162,0.72,1,1
Clyde Drexler,"1990",27,6.9,5.9,2.0,0.7,2.6,23.3,0.551,0.078,0.317,0.208,0.72,1,1
Charles Barkley,"1990",26,11.5,3.9,1.9,0.6,3.1,25.2,0.661,0.078,0.632,0.269,0.646,1,1
Larry Bird,"1990",33,9.5,7.5,1.4,0.8,3.2,24.3,0.546,0.129,0.226,0.154,0.634,1,1
David Robinson,"1990",24,12.0,2.0,1.7,3.9,3.1,24.3,0.597,0.002,0.644,0.241,0.683,1,1
Michael Jordan,"1990",26,6.9,6.3,2.8,0.7,3.0,33.6,0.606,0.125,0.356,0.285,0.671,1,1
Hakeem Olajuwon,"1990",27,14.0,2.9,2.1,4.6,3.9,24.3,0.541,0.004,0.333,0.173,0.5,1,1
Patrick Ewing,"1990",27,10.9,2.2,1.0,4.0,3.4,28.6,0.599,0.002,0.387,0.205,0.549,1,1
Chris Mullin,"1990",26,5.9,4.1,1.6,0.6,3.1,25.1,0.643,0.184,0.447,0.174,0.451,1,1
Michael Jordan,"1991",27,6.0,5.5,2.7,1.0,2.5,31.5,0.605,0.051,0.365,0.321,0.744,1,1
Clyde Drexler,"1991",28,6.7,6.0,1.8,0.7,2.8,21.5,0.563,0.143,0.392,0.209,0.768,1,1
James Worthy,"1991",29,4.6,3.5,1.3,0.4,1.6,21.4,0.531,0.062,0.183,0.143,0.707,1,1
Magic Johnson,"1991",31,7.0,12.5,1.3,0.2,4.0,19.4,0.623,0.256,0.587,0.251,0.707,1,1
Kevin Johnson,"1991",24,3.5,10.1,2.1,0.1,3.5,22.2,0.604,0.038,0.538,0.22,0.671,1,1
David Robinson,"1991",25,13.0,2.5,1.5,3.9,3.3,25.6,0.615,0.005,0.569,0.264,0.671,1,1
Joe Dumars,"1991",27,2.3,5.5,1.1,0.1,2.4,20.4,0.552,0.035,0.323,0.155,0.61,1,1
Chris Mullin,"1991",27,5.4,4.0,2.1,0.8,3.0,25.7,0.618,0.092,0.4,0.176,0.537,1,1
Dominique Wilkins,"1991",31,9.0,3.3,1.5,0.8,2.5,25.9,0.555,0.152,0.35,0.177,0.524,1,1
Patrick Ewing,"1991",28,11.2,3.0,1.0,3.2,3.6,26.6,0.561,0.004,0.379,0.155,0.476,1,1
Charles Barkley,"1991",27,10.1,4.2,1.6,0.5,3.1,27.6,0.635,0.133,0.564,0.258,0.537,1,1
Bernard King,"1991",34,5.0,4.6,0.9,0.3,4.0,28.4,0.527,0.024,0.321,0.07,0.366,1,1
Michael Jordan,"1992",28,6.4,6.1,2.3,0.9,2.5,30.1,0.579,0.055,0.325,0.274,0.817,1,1
Scottie Pippen,"1992",26,7.7,7.0,1.9,1.1,3.1,21.0,0.555,0.059,0.319,0.192,0.817,1,1
Clyde Drexler,"1992",29,6.6,6.7,1.8,0.9,3.2,25.0,0.56,0.229,0.342,0.223,0.695,1,1
Brad Daugherty,"1992",26,10.4,3.6,0.9,1.1,2.5,21.5,0.629,0.002,0.528,0.213,0.695,1,1
Mark Price,"1992",27,2.4,7.4,1.3,0.2,2.2,17.3,0.61,0.291,0.318,0.205,0.695,1,1
Patrick Ewing,"1992",29,11.2,1.9,1.1,3.0,2.5,24.0,0.563,0.004,0.335,0.198,0.622,1,1
Chris Mullin,"1992",28,5.6,3.5,2.1,0.8,2.5,25.6,0.586,0.11,0.265,0.155,0.671,1,1
Tim Hardaway,"1992",25,3.8,10.0,2.0,0.2,3.3,23.4,0.537,0.236,0.244,0.132,0.671,1,1
David Robinson,"1992",26,12.2,2.7,2.3,4.5,2.7,23.2,0.597,0.007,0.522,0.26,0.573,1,1
Dennis Rodman,"1992",30,18.7,2.3,0.8,0.9,1.7,9.8,0.574,0.159,0.22,0.183,0.585,1,1
Charles Barkley,"1992",28,11.1,4.1,1.8,0.6,3.1,23.1,0.612,0.122,0.58,0.205,0.427,1,1
Kevin Willis,"1992",29,15.5,2.1,0.9,0.7,2.4,18.3,0.535,0.03,0.297,0.143,0.463,1,1
Michael Jordan,"1993",29,6.7,5.5,2.8,0.8,2.7,32.6,0.564,0.115,0.284,0.27,0.695,1,1
Scottie Pippen,"1993",27,7.7,6.3,2.1,0.9,3.0,18.6,0.51,0.07,0.264,0.132,0.695,1,1
Mark Price,"1993",28,2.7,8.0,1.2,0.1,2.6,18.2,0.609,0.297,0.309,0.197,0.659,1,1
