"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Kevin Durant,"2018",29,6.8,5.4,0.7,1.8,3.0,26.4,0.64,0.338,0.331,0.215,0.707,1,1
Stephen Curry,"2018",29,5.1,6.1,1.6,0.2,3.0,26.4,0.675,0.58,0.35,0.267,0.707,1,1
Joel Embiid,"2018",23,11.0,3.2,0.6,1.8,3.7,22.9,0.573,0.203,0.442,0.155,0.634,1,1
Paul George,"2018",27,5.7,3.3,2.0,0.5,2.7,21.9,0.57,0.454,0.307,0.147,0.585,1,1
Russell Westbrook,"2018",29,10.1,10.3,1.8,0.3,4.8,25.4,0.524,0.193,0.336,0.166,0.585,1,1
LaMarcus Aldridge,"2018",32,8.5,2.0,0.6,1.2,1.5,23.1,0.57,0.068,0.296,0.209,0.573,1,1
Damian Lillard,"2018",27,4.5,6.6,1.1,0.4,2.8,26.9,0.594,0.445,0.38,0.227,0.598,1,1
Jimmy Butler,"2018",28,5.3,4.9,2.0,0.4,1.8,22.2,0.59,0.217,0.461,0.198,0.573,1,1
Karl-Anthony Towns,"2018",22,12.3,2.4,0.8,1.4,1.9,21.3,0.646,0.243,0.343,0.23,0.573,1,1
Victor Oladipo,"2018",25,5.2,4.3,2.4,0.8,2.9,23.1,0.577,0.323,0.274,0.155,0.585,1,1
Anthony Davis,"2018",24,11.1,2.3,1.5,2.6,2.2,28.1,0.612,0.111,0.409,0.241,0.585,1,1
LeBron James,"2018",33,8.6,9.1,1.4,0.9,4.2,27.5,0.621,0.257,0.336,0.221,0.61,1,1
Giannis Antetokounmpo,"2018",23,10.0,4.8,1.5,1.4,3.0,26.9,0.598,0.1,0.457,0.207,0.537,1,1
Giannis Antetokounmpo,"2019",24,12.5,5.9,1.3,1.5,3.7,27.7,0.644,0.163,0.55,0.292,0.732,1,1
Kevin Durant,"2019",30,6.4,5.9,0.7,1.1,2.9,26.0,0.631,0.281,0.366,0.204,0.695,1,1
Stephen Curry,"2019",30,5.3,5.2,1.3,0.4,2.8,27.3,0.641,0.604,0.214,0.199,0.695,1,1
Kawhi Leonard,"2019",27,7.3,3.3,1.8,0.4,2.0,26.6,0.606,0.267,0.377,0.224,0.707,1,1
James Harden,"2019",29,6.6,7.5,2.0,0.7,5.0,36.1,0.616,0.539,0.449,0.254,0.646,1,1
Kyrie Irving,"2019",26,5.0,6.9,1.5,0.5,2.6,23.8,0.592,0.35,0.197,0.197,0.598,1,1
Damian Lillard,"2019",28,4.6,6.9,1.1,0.4,2.7,25.8,0.588,0.419,0.335,0.205,0.646,1,1
Nikola Jokic,"2019",23,10.8,7.3,1.4,0.7,3.1,20.1,0.589,0.224,0.292,0.226,0.659,1,1
Paul George,"2019",28,8.2,4.1,2.2,0.4,2.7,28.0,0.583,0.469,0.335,0.201,0.598,1,1
Russell Westbrook,"2019",30,11.1,10.7,1.9,0.5,4.5,22.9,0.501,0.279,0.306,0.124,0.598,1,1
Joel Embiid,"2019",24,13.6,3.7,0.7,1.9,3.5,27.5,0.593,0.219,0.541,0.194,0.622,1,1
Blake Griffin,"2019",29,7.5,5.4,0.7,0.4,3.4,24.5,0.581,0.389,0.41,0.147,0.5,1,1
Kemba Walker,"2019",28,4.4,5.9,1.2,0.4,2.6,25.6,0.558,0.434,0.267,0.123,0.476,1,1
LeBron James,"2019",34,8.5,8.3,1.3,0.6,3.6,27.4,0.588,0.299,0.382,0.179,0.451,1,1
Giannis Antetokounmpo,"2020",25,13.6,5.6,1.0,1.0,3.7,29.5,0.613,0.237,0.508,0.279,0.767,1,1
Jayson Tatum,"2020",21,7.0,3.0,1.4,0.9,2.3,23.4,0.567,0.383,0.255,0.146,0.667,1,1
Kawhi Leonard,"2020",28,7.1,4.9,1.8,0.6,2.6,27.1,0.589,0.287,0.355,0.226,0.681,1,1
Pascal Siakam,"2020",25,7.3,3.5,1.0,0.9,2.5,22.9,0.554,0.331,0.274,0.123,0.736,1,1
Anthony Davis,"2020",26,9.3,3.2,1.5,2.3,2.5,26.1,0.61,0.199,0.479,0.25,0.732,1,1
LeBron James,"2020",35,7.8,10.2,1.2,0.5,3.9,25.3,0.577,0.326,0.292,0.204,0.732,1,1
Luka Doncic,"2020",20,9.4,8.8,1.0,0.2,4.3,28.8,0.585,0.431,0.448,0.207,0.573,1,1
Jimmy Butler,"2020",30,6.7,6.0,1.8,0.6,2.2,19.9,0.585,0.157,0.693,0.221,0.603,1,1
James Harden,"2020",30,6.6,7.5,1.8,0.9,4.5,34.3,0.626,0.557,0.528,0.254,0.611,1,1
Russell Westbrook,"2020",31,7.9,7.0,1.6,0.4,4.5,27.2,0.536,0.166,0.297,0.098,0.611,1,1
Ben Simmons,"2020",23,7.8,8.0,2.1,0.6,3.5,16.4,0.602,0.011,0.461,0.165,0.589,1,1
Nikola Jokic,"2020",24,9.7,7.0,1.2,0.6,3.1,19.9,0.605,0.238,0.281,0.202,0.63,1,1
Chris Paul,"2020",34,5.0,6.7,1.6,0.2,2.3,17.6,0.61,0.343,0.315,0.193,0.611,1,1
Damian Lillard,"2020",29,4.3,8.0,1.1,0.3,2.9,30.0,0.627,0.5,0.384,0.225,0.473,1,1
Kawhi Leonard,"2021",29,6.5,5.2,1.6,0.4,2.0,24.8,0.622,0.28,0.325,0.238,0.653,1,1
Paul George,"2021",30,6.6,5.2,1.1,0.4,3.3,23.3,0.598,0.437,0.239,0.139,0.653,1,1
Chris Paul,"2021",35,4.5,8.9,1.4,0.3,2.2,16.4,0.599,0.294,0.206,0.201,0.708,1,1
Giannis Antetokounmpo,"2021",26,11.0,5.9,1.2,1.2,3.4,28.1,0.633,0.201,0.528,0.244,0.639,1,1
Joel Embiid,"2021",26,10.6,2.8,1.0,1.4,3.1,28.5,0.636,0.171,0.61,0.266,0.681,1,1
Nikola Jokic,"2021",25,10.8,8.3,1.3,0.7,3.1,26.4,0.647,0.183,0.305,0.301,0.653,1,1
LeBron James,"2021",36,7.7,7.8,1.1,0.6,3.7,25.0,0.602,0.346,0.31,0.179,0.583,1,1
Luka Doncic,"2021",21,8.0,8.6,1.0,0.5,4.3,27.7,0.587,0.406,0.349,0.163,0.583,1,1
Julius Randle,"2021",26,10.2,6.0,0.9,0.3,3.4,24.1,0.567,0.294,0.325,0.14,0.569,1,1
Damian Lillard,"2021",30,4.2,7.5,0.9,0.3,3.0,28.8,0.623,0.528,0.363,0.209,0.583,1,1
Stephen Curry,"2021",32,5.5,5.8,1.2,0.1,3.4,32.0,0.655,0.587,0.289,0.201,0.542,1,1
Bradley Beal,"2021",27,4.7,4.4,1.2,0.4,3.1,31.3,0.593,0.27,0.332,0.132,0.472,1,1
