"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Alvan Adams,"1981",7.3,4.6,2.3,14.9,0.567,0.18,0.695,0
Tiny Archibald,"1981",2.2,7.7,1.2,13.8,0.582,0.118,0.756,1
James Bailey,"1981",7.4,1.2,2.6,14.0,0.546,0.094,0.415,0
Greg Ballard,"1981",7.1,2.4,1.9,15.5,0.5,0.127,0.476,0
Mike Bantom,"1981",5.6,3.2,2.2,14.0,0.528,0.088,0.537,0
Billy Ray Bates,"1981",2.0,2.5,1.1,13.8,0.537,0.111,0.549,0
Kent Benson,"1981",6.8,2.9,2.4,15.7,0.524,0.075,0.256,0
Larry Bird,"1981",10.9,5.5,2.7,21.2,0.528,0.16,0.756,1
Otis Birdsong,"1981",3.6,3.3,1.6,24.6,0.58,0.152,0.488,1
Ron Boone,"1981",1.6,3.1,0.8,7.8,0.492,-0.025,0.341,0
Dudley Bradley,"1981",2.4,2.3,2.7,8.0,0.515,0.1,0.537,0
Mike Bratz,"1981",2.5,5.7,1.9,10.0,0.458,0.038,0.341,0
Junior Bridgeman,"1981",3.8,3.0,1.5,16.8,0.534,0.146,0.732,0
Allan Bristow,"1981",5.2,4.7,0.8,8.7,0.511,0.065,0.341,0
Michael Brooks,"1981",5.4,2.5,1.6,14.7,0.519,0.095,0.439,0
Fred Brown,"1981",2.2,3.0,1.3,15.5,0.535,0.127,0.415,0
Joe Bryant,"1981",5.4,2.3,1.3,11.6,0.53,0.069,0.439,0
Quinn Buckner,"1981",3.6,4.7,2.4,13.3,0.522,0.108,0.732,0
Kenny Carr,"1981",10.3,2.4,1.5,15.2,0.56,0.107,0.341,0
Joe Barry Carroll,"1981",9.3,1.4,2.1,18.9,0.534,0.094,0.476,0
Bill Cartwright,"1981",7.5,1.4,1.6,20.1,0.611,0.164,0.61,0
Harvey Catchings,"1981",6.1,1.3,2.8,4.2,0.48,0.092,0.732,0
Maurice Cheeks,"1981",3.0,6.9,2.9,9.4,0.579,0.169,0.756,0
Jim Chones,"1981",8.0,1.9,1.6,10.8,0.528,0.088,0.659,0
Darwin Cook,"1981",2.9,3.7,2.2,11.2,0.503,0.065,0.293,0
Jeff Cook,"1981",5.9,2.5,1.7,8.5,0.491,0.098,0.695,0
Michael Cooper,"1981",4.1,4.1,2.6,9.4,0.53,0.092,0.659,0
Dave Corzine,"1981",7.8,1.4,1.7,10.5,0.52,0.125,0.634,0
Charlie Criss,"1981",1.5,4.3,1.0,9.5,0.54,0.07,0.378,0
Adrian Dantley,"1981",6.4,4.0,1.6,30.7,0.622,0.191,0.341,1
Brad Davis,"1981",2.7,6.9,1.1,11.2,0.626,0.119,0.183,0
Johnny Davis,"1981",2.2,6.3,1.4,14.4,0.522,0.107,0.537,0
Walter Davis,"1981",2.6,3.9,1.4,18.0,0.579,0.157,0.695,1
Darryl Dawkins,"1981",7.2,1.4,2.0,14.0,0.641,0.145,0.756,0
John Drew,"1981",5.7,1.2,1.7,21.7,0.539,0.124,0.378,0
Larry Drew,"1981",1.6,3.3,1.3,6.6,0.464,-0.001,0.256,0
Mike Dunleavy,"1981",1.6,3.6,0.9,10.5,0.544,0.091,0.488,0
James Edwards,"1981",7.0,2.6,2.0,15.6,0.547,0.141,0.537,0
Alex English,"1981",8.0,3.6,2.5,23.8,0.549,0.129,0.451,0
Julius Erving,"1981",8.0,4.4,3.9,24.6,0.572,0.231,0.756,1
Chris Ford,"1981",2.0,3.6,1.5,8.9,0.488,0.066,0.756,0
Phil Ford,"1981",1.9,8.8,1.6,17.5,0.553,0.11,0.488,0
