"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Michael Curry,"2000",1.3,1.1,0.5,6.2,0.559,0.06,0.512,0
Antonio Davis,"2000",8.8,1.3,1.7,11.5,0.52,0.118,0.549,0
Dale Davis,"2000",9.9,0.9,2.0,10.0,0.537,0.161,0.683,1
Hubert Davis,"2000",1.7,1.8,0.3,7.4,0.585,0.067,0.488,0
Andrew DeClercq,"2000",5.4,0.7,1.6,6.6,0.53,0.077,0.39,0
Michael Dickerson,"2000",3.4,2.5,2.0,18.2,0.53,0.085,0.268,0
Vlade Divac,"2000",8.0,3.0,2.5,12.3,0.552,0.145,0.537,0
Tim Duncan,"2000",12.4,3.2,3.1,23.2,0.555,0.218,0.646,1
Howard Eisley,"2000",2.1,4.2,0.8,8.6,0.492,0.069,0.671,0
Mario Elie,"2000",3.2,2.4,1.0,7.5,0.565,0.099,0.646,0
LaPhonso Ellis,"2000",5.0,1.0,1.0,8.4,0.481,0.07,0.341,0
Patrick Ewing,"2000",9.7,0.9,1.9,15.0,0.516,0.113,0.61,0
Jamie Feick,"2000",9.3,0.8,1.0,5.7,0.477,0.103,0.378,0
Danny Ferry,"2000",3.8,1.1,0.7,7.3,0.571,0.099,0.39,0
Michael Finley,"2000",6.3,5.3,1.7,22.6,0.522,0.114,0.488,1
Derek Fisher,"2000",1.8,2.8,1.1,6.3,0.449,0.083,0.817,0
Adonal Foyle,"2000",5.6,0.6,2.1,5.5,0.5,0.055,0.232,0
Steve Francis,"2000",5.3,6.6,1.9,18.0,0.543,0.111,0.415,0
Kevin Garnett,"2000",11.8,5.0,3.0,22.9,0.545,0.172,0.61,1
Matt Geiger,"2000",6.0,0.6,0.8,9.7,0.483,0.088,0.598,0
Kendall Gill,"2000",3.7,2.8,2.4,13.1,0.465,0.076,0.378,0
Brian Grant,"2000",5.5,1.0,1.0,7.3,0.54,0.128,0.72,0
Horace Grant,"2000",7.8,2.5,1.5,8.1,0.472,0.093,0.549,0
A.C. Green,"2000",5.9,1.0,0.9,5.0,0.482,0.124,0.817,0
Adrian Griffin,"2000",5.2,2.5,1.8,6.7,0.503,0.098,0.427,0
Tom Gugliotta,"2000",7.9,2.3,2.1,13.7,0.519,0.14,0.646,0
Anfernee Hardaway,"2000",5.8,5.3,2.2,16.9,0.549,0.165,0.646,0
Tim Hardaway,"2000",2.9,7.4,1.0,13.4,0.5,0.123,0.634,0
Ron Harper,"2000",4.2,3.4,1.6,7.0,0.468,0.093,0.817,0
Othella Harrington,"2000",6.9,1.2,1.1,13.1,0.56,0.054,0.268,0
Lucious Harris,"2000",2.4,1.3,0.9,6.7,0.506,0.089,0.378,0
Hersey Hawkins,"2000",2.9,2.2,1.5,7.9,0.562,0.077,0.207,0
Alan Henderson,"2000",7.0,0.9,1.6,13.2,0.503,0.074,0.341,0
Grant Hill,"2000",6.6,5.2,2.0,25.8,0.565,0.185,0.512,1
Tyrone Hill,"2000",9.2,0.8,1.3,12.0,0.529,0.128,0.598,0
Jeff Hornacek,"2000",2.4,2.6,1.1,12.4,0.59,0.147,0.671,0
Robert Horry,"2000",4.8,1.6,2.2,5.7,0.528,0.161,0.817,0
Allan Houston,"2000",3.3,2.7,1.0,19.7,0.569,0.13,0.61,1
Juwan Howard,"2000",5.7,3.0,1.1,14.9,0.496,0.031,0.354,0
Troy Hudson,"2000",2.4,3.9,0.7,8.8,0.468,-0.005,0.183,0
Lindsey Hunter,"2000",3.0,4.0,1.8,12.7,0.543,0.093,0.512,0
Allen Iverson,"2000",3.8,4.7,2.1,28.4,0.496,0.116,0.598,1
Jaren Jackson,"2000",2.2,1.5,0.8,6.3,0.503,0.087,0.646,0
Jim Jackson,"2000",5.0,2.9,0.8,16.7,0.496,0.049,0.341,0
Mark Jackson,"2000",3.7,8.0,1.1,8.1,0.538,0.146,0.683,0
Antawn Jamison,"2000",8.3,2.1,1.0,19.6,0.496,0.043,0.232,0
Avery Johnson,"2000",1.9,6.0,1.1,11.2,0.5,0.117,0.646,0
Ervin Johnson,"2000",8.1,0.6,2.6,4.8,0.55,0.111,0.512,0
Larry Johnson,"2000",5.4,2.5,0.7,10.7,0.517,0.107,0.61,0
Shawn Kemp,"2000",8.8,1.7,2.4,17.8,0.508,0.077,0.39,0
Jason Kidd,"2000",7.2,10.1,2.4,14.3,0.498,0.156,0.646,1
Kerry Kittles,"2000",3.6,2.3,1.6,13.0,0.535,0.119,0.378,0
Brevin Knight,"2000",3.0,7.0,2.0,9.3,0.471,0.077,0.39,0
Christian Laettner,"2000",6.7,2.3,1.6,12.2,0.539,0.1,0.512,0
Raef LaFrentz,"2000",7.9,1.2,2.7,12.4,0.512,0.116,0.427,0
Voshon Lenard,"2000",2.9,2.6,1.1,11.9,0.518,0.1,0.634,0
Rashard Lewis,"2000",4.1,0.9,1.2,8.2,0.543,0.125,0.549,0
George Lynch,"2000",7.8,1.8,2.1,9.6,0.498,0.116,0.598,0
Dan Majerle,"2000",4.8,3.0,1.5,7.3,0.559,0.126,0.634,0
Karl Malone,"2000",9.5,3.7,1.8,25.5,0.582,0.249,0.671,1
Matt Maloney,"2000",1.3,2.7,0.7,6.4,0.484,0.028,0.207,0
Stephon Marbury,"2000",3.2,8.4,1.7,22.2,0.528,0.123,0.378,1
Shawn Marion,"2000",6.5,1.4,1.8,10.2,0.511,0.158,0.646,0
Donyell Marshall,"2000",10.0,2.6,2.1,14.2,0.478,0.088,0.232,0
Jamal Mashburn,"2000",5.0,3.9,1.2,17.5,0.526,0.109,0.634,0
George McCloud,"2000",3.7,3.2,0.9,10.1,0.548,0.086,0.427,0
Antonio McDyess,"2000",8.5,2.0,2.6,19.1,0.539,0.11,0.427,0
Tracy McGrady,"2000",6.3,3.3,3.1,15.4,0.509,0.129,0.549,0
Aaron McKie,"2000",3.0,2.9,1.5,8.0,0.497,0.105,0.598,0
Andre Miller,"2000",3.4,5.8,1.2,11.1,0.517,0.122,0.39,0
Oliver Miller,"2000",5.1,1.3,2.4,6.3,0.609,0.152,0.646,0
Reggie Miller,"2000",3.0,2.3,1.4,18.1,0.603,0.162,0.683,1
Terry Mills,"2000",4.8,1.0,0.8,6.7,0.545,0.099,0.512,0
Cuttino Mobley,"2000",3.6,2.6,1.5,15.8,0.545,0.099,0.415,0
Alonzo Mourning,"2000",9.5,1.6,4.2,21.7,0.596,0.226,0.634,1
Lamond Murray,"2000",5.7,1.8,1.9,15.9,0.517,0.067,0.39,0
Tracy Murray,"2000",3.4,0.9,0.9,10.2,0.555,0.101,0.354,0
Dikembe Mutombo,"2000",14.1,1.3,3.6,11.5,0.621,0.16,0.341,1
Steve Nash,"2000",2.2,4.9,0.7,8.6,0.601,0.094,0.488,0
Tyrone Nesby,"2000",3.8,1.7,1.5,13.3,0.487,0.027,0.183,0
Rasho Nesterovic,"2000",4.6,1.1,1.3,5.7,0.492,0.082,0.61,0
Johnny Newman,"2000",1.9,0.8,0.8,10.0,0.566,0.095,0.378,0
Dirk Nowitzki,"2000",6.5,2.5,1.6,17.5,0.564,0.132,0.488,0
Shaquille O'Neal,"2000",13.6,3.8,3.5,29.7,0.578,0.283,0.817,1
Charles Oakley,"2000",6.8,3.2,1.8,6.9,0.459,0.044,0.549,0
Lamar Odom,"2000",7.8,4.2,2.4,16.6,0.521,0.055,0.183,0
Michael Olowokandi,"2000",8.2,0.5,2.2,9.8,0.467,-0.016,0.183,0
Greg Ostertag,"2000",6.0,0.2,2.4,4.5,0.525,0.124,0.671,0
Bo Outlaw,"2000",6.4,3.0,3.2,6.0,0.597,0.14,0.5,0
Ruben Patterson,"2000",5.4,1.6,1.7,11.6,0.587,0.153,0.549,0
Gary Payton,"2000",6.5,8.9,2.1,24.2,0.535,0.195,0.549,1
Anthony Peeler,"2000",2.8,2.4,0.9,9.8,0.52,0.094,0.61,0
Sam Perkins,"2000",3.6,0.8,0.8,6.6,0.555,0.103,0.683,0
Wesley Person,"2000",3.4,1.8,0.7,9.2,0.528,0.086,0.39,0
Eric Piatkowski,"2000",3.0,1.1,0.8,8.7,0.53,0.064,0.183,0
Paul Pierce,"2000",5.4,3.0,2.9,19.5,0.55,0.152,0.427,0
Scottie Pippen,"2000",6.3,5.0,1.9,12.5,0.533,0.137,0.72,0
Olden Polynice,"2000",5.5,0.5,1.4,5.3,0.497,0.084,0.671,0
Terry Porter,"2000",2.8,3.3,0.9,9.4,0.596,0.168,0.646,0
James Posey,"2000",3.9,1.8,1.6,8.2,0.55,0.101,0.427,0
Vitaly Potapenko,"2000",6.3,1.0,0.9,9.2,0.527,0.066,0.427,0
Theo Ratliff,"2000",7.6,0.6,3.6,11.9,0.568,0.149,0.598,0
Bryant Reeves,"2000",5.7,1.2,1.0,8.9,0.481,0.017,0.268,0
Glen Rice,"2000",4.1,2.2,0.7,15.9,0.551,0.17,0.817,0
Mitch Richmond,"2000",2.9,2.5,1.7,17.4,0.536,0.104,0.354,0
Isaiah Rider,"2000",4.3,3.7,0.8,19.3,0.488,0.037,0.341,0
Clifford Robinson,"2000",4.5,2.8,1.9,18.5,0.564,0.162,0.646,0
David Robinson,"2000",9.6,1.8,3.5,17.8,0.568,0.238,0.646,1
Glenn Robinson,"2000",6.0,2.4,1.5,20.9,0.534,0.08,0.512,1
Carlos Rogers,"2000",5.2,0.8,0.9,8.0,0.549,0.096,0.415,0
Rodney Rogers,"2000",5.5,2.1,1.7,13.8,0.57,0.154,0.646,0
Jalen Rose,"2000",4.8,4.0,1.7,18.2,0.547,0.118,0.683,0
Bryon Russell,"2000",5.2,1.9,1.8,14.1,0.55,0.146,0.671,0
Arvydas Sabonis,"2000",7.8,1.8,1.8,11.8,0.568,0.203,0.72,0
Detlef Schrempf,"2000",4.3,2.6,0.7,7.5,0.544,0.149,0.72,0
Malik Sealy,"2000",4.3,2.4,1.2,11.3,0.53,0.111,0.61,0
Dickey Simpkins,"2000",5.4,1.4,0.6,4.2,0.439,-0.021,0.207,0
Joe Smith,"2000",6.2,1.1,1.7,9.9,0.525,0.114,0.61,0
Steve Smith,"2000",3.8,2.5,1.2,14.9,0.584,0.186,0.72,0
Rik Smits,"2000",5.1,1.1,1.5,12.9,0.518,0.099,0.683,0
Eric Snow,"2000",3.2,7.6,1.8,7.9,0.482,0.102,0.598,0
Latrell Sprewell,"2000",4.3,4.0,1.6,18.6,0.515,0.097,0.61,0
Jerry Stackhouse,"2000",3.8,4.5,1.7,23.6,0.545,0.111,0.512,1
John Stockton,"2000",2.6,8.6,1.9,12.1,0.591,0.222,0.671,1
Peja Stojakovic,"2000",3.7,1.4,0.8,11.9,0.559,0.133,0.537,0
Damon Stoudamire,"2000",3.1,5.2,1.0,12.5,0.508,0.124,0.72,0
Erick Strickland,"2000",4.8,3.1,1.7,12.8,0.531,0.116,0.488,0
Rod Strickland,"2000",3.8,7.5,1.6,12.6,0.485,0.081,0.354,0
Bob Sura,"2000",3.9,3.9,1.5,13.8,0.545,0.107,0.39,0
Wally Szczerbiak,"2000",3.7,2.8,1.1,11.6,0.571,0.137,0.61,0
Maurice Taylor,"2000",6.5,1.6,1.6,17.1,0.492,-0.007,0.183,0
Jason Terry,"2000",2.0,4.3,1.2,8.1,0.497,0.047,0.341,0
Kenny Thomas,"2000",6.1,1.6,1.1,8.3,0.477,0.058,0.415,0
Kurt Thomas,"2000",6.3,1.0,1.2,8.0,0.542,0.127,0.61,0
Tim Thomas,"2000",4.2,1.4,1.1,11.8,0.549,0.088,0.512,0
Nick Van Exel,"2000",3.9,9.0,1.0,16.1,0.483,0.079,0.427,0
Keith Van Horn,"2000",8.5,2.0,1.6,19.2,0.537,0.096,0.378,0
Antoine Walker,"2000",8.0,3.7,1.8,20.5,0.494,0.08,0.427,0
Ben Wallace,"2000",8.2,0.8,2.5,4.8,0.508,0.138,0.5,0
Rasheed Wallace,"2000",7.0,1.8,2.4,16.4,0.556,0.156,0.72,1
Charlie Ward,"2000",3.2,4.2,1.5,7.3,0.559,0.133,0.61,0
Clarence Weatherspoon,"2000",5.8,1.2,1.3,7.2,0.566,0.152,0.634,0
Chris Webber,"2000",10.5,4.6,3.3,24.5,0.53,0.179,0.537,1
Jahidi White,"2000",6.9,0.2,1.4,7.1,0.524,0.101,0.354,0
Chris Whitney,"2000",1.6,3.8,0.7,7.8,0.554,0.117,0.354,0
Aaron Williams,"2000",5.0,0.7,1.6,7.6,0.572,0.15,0.354,0
Eric Williams,"2000",2.3,1.4,0.9,7.2,0.531,0.088,0.427,0
Jason Williams,"2000",2.8,7.3,1.5,12.3,0.477,0.026,0.537,0
Jerome Williams,"2000",9.6,0.8,1.4,8.4,0.593,0.174,0.512,0
Monty Williams,"2000",3.3,1.4,0.8,8.7,0.533,0.099,0.5,0
Scott Williams,"2000",6.6,0.4,1.6,7.6,0.539,0.124,0.512,0
Walt Williams,"2000",4.0,2.1,1.2,10.9,0.562,0.114,0.415,0
Corliss Williamson,"2000",3.8,1.1,0.8,10.3,0.549,0.102,0.537,0
Kevin Willis,"2000",6.1,0.6,1.1,7.6,0.471,0.066,0.549,0
Metta World Peace,"2000",4.3,2.8,2.2,12.0,0.491,0.05,0.207,0
Shareef Abdur-Rahim,"2001",9.1,3.1,2.1,20.5,0.549,0.126,0.28,0
Ray Allen,"2001",5.2,4.6,1.8,22.0,0.61,0.211,0.634,1
John Amaechi,"2001",3.3,0.9,0.7,7.9,0.455,0.001,0.524,0
Derek Anderson,"2001",4.4,3.7,1.6,15.5,0.542,0.166,0.707,0
Shandon Anderson,"2001",4.1,2.3,1.5,8.7,0.528,0.078,0.549,0
Darrell Armstrong,"2001",4.6,7.0,2.0,15.9,0.535,0.151,0.524,0
Chucky Atkins,"2001",2.1,4.1,0.9,12.0,0.481,0.057,0.39,0
Vin Baker,"2001",5.7,1.2,1.5,12.2,0.481,0.04,0.537,0
Brent Barry,"2001",3.1,3.4,1.4,8.8,0.66,0.157,0.537,0
Travis Best,"2001",2.9,6.1,1.6,11.9,0.517,0.14,0.5,0
Mike Bibby,"2001",3.7,8.4,1.5,15.9,0.525,0.081,0.28,0
Chauncey Billups,"2001",2.1,3.4,0.8,9.3,0.538,0.098,0.573,0
Mookie Blaylock,"2001",3.9,6.7,2.7,11.0,0.455,0.071,0.207,0
Bruce Bowen,"2001",3.0,1.6,1.7,7.6,0.478,0.075,0.61,0
Shawn Bradley,"2001",7.4,0.5,3.2,7.1,0.551,0.151,0.646,0
Elton Brand,"2001",10.1,3.2,2.6,20.1,0.524,0.101,0.183,0
Terrell Brandon,"2001",3.8,7.5,2.3,16.0,0.507,0.145,0.573,0
Randy Brown,"2001",1.8,2.9,1.3,4.1,0.438,0.034,0.439,0
Kobe Bryant,"2001",5.9,5.0,2.3,28.5,0.552,0.196,0.683,1
Jason Caffey,"2001",5.0,0.8,0.9,7.1,0.544,0.114,0.634,0
Marcus Camby,"2001",11.5,0.8,3.2,12.0,0.559,0.233,0.585,0
Anthony Carter,"2001",2.5,3.7,1.2,6.4,0.439,0.05,0.61,0
Vince Carter,"2001",5.5,3.9,2.6,27.6,0.551,0.208,0.573,1
Sam Cassell,"2001",3.8,7.6,1.3,18.2,0.542,0.15,0.634,0
Doug Christie,"2001",4.4,3.6,2.8,12.3,0.538,0.141,0.671,0
Austin Croshere,"2001",4.8,1.1,1.1,10.1,0.512,0.082,0.5,0
Vonteego Cummings,"2001",2.1,3.4,1.2,7.3,0.425,0.007,0.207,0
Michael Curry,"2001",1.8,1.9,0.4,5.2,0.507,0.055,0.39,0
Antonio Daniels,"2001",2.1,3.8,0.9,9.4,0.567,0.153,0.707,0
Antonio Davis,"2001",10.1,1.4,2.2,13.7,0.508,0.127,0.573,1
Dale Davis,"2001",7.5,1.3,1.5,7.2,0.524,0.147,0.61,0
Emanual Davis,"2001",2.5,2.2,1.2,5.8,0.527,0.067,0.537,0
Tony Delk,"2001",3.2,2.0,1.1,12.3,0.49,0.096,0.622,0
Michael Dickerson,"2001",3.3,3.3,1.3,16.3,0.501,0.034,0.28,0
Vlade Divac,"2001",8.3,2.9,2.2,12.0,0.536,0.147,0.671,1
Tim Duncan,"2001",12.2,3.0,3.2,22.2,0.536,0.2,0.707,1
Howard Eisley,"2001",2.4,3.6,1.4,9.0,0.507,0.087,0.646,0
Mario Elie,"2001",2.3,1.9,1.0,4.4,0.541,0.097,0.622,0
Sean Elliott,"2001",3.3,1.6,0.9,7.9,0.544,0.118,0.707,0
LaPhonso Ellis,"2001",6.0,1.1,1.7,9.4,0.524,0.127,0.573,0
Patrick Ewing,"2001",7.4,1.2,1.8,9.6,0.478,0.046,0.537,0
Danny Ferry,"2001",2.8,0.9,0.6,5.6,0.577,0.117,0.707,0
Michael Finley,"2001",5.2,4.4,1.8,21.5,0.521,0.119,0.646,1
Marcus Fizer,"2001",4.3,1.1,0.7,9.5,0.476,-0.022,0.183,0
Rick Fox,"2001",4.0,3.2,1.2,9.6,0.562,0.107,0.683,0
Adonal Foyle,"2001",7.0,0.8,3.2,5.9,0.422,0.022,0.207,0
Steve Francis,"2001",6.9,6.5,2.2,19.9,0.563,0.184,0.549,0
Kevin Garnett,"2001",11.4,5.0,3.2,22.0,0.531,0.176,0.573,1
Pat Garrity,"2001",2.8,0.7,0.7,8.3,0.507,0.076,0.524,0
Chris Gatling,"2001",5.3,0.8,1.1,11.4,0.505,0.068,0.366,0
Brian Grant,"2001",8.8,1.2,1.6,15.2,0.536,0.151,0.61,0
Horace Grant,"2001",7.1,1.6,1.5,8.5,0.511,0.13,0.683,0
Tom Gugliotta,"2001",4.5,1.0,1.2,6.4,0.437,0.073,0.622,0
Richard Hamilton,"2001",3.1,2.9,1.1,18.1,0.508,0.046,0.232,0
Tim Hardaway,"2001",2.6,6.3,1.2,14.9,0.513,0.118,0.61,0
Matt Harpring,"2001",4.3,1.8,1.1,11.1,0.522,0.077,0.366,0
Al Harrington,"2001",4.9,1.7,1.0,7.5,0.479,0.031,0.5,0
Lucious Harris,"2001",3.9,1.8,1.2,9.4,0.498,0.073,0.317,0
Alan Henderson,"2001",5.6,0.7,1.1,10.5,0.487,0.05,0.305,0
Tyrone Hill,"2001",9.0,0.6,0.8,9.6,0.515,0.111,0.683,0
Fred Hoiberg,"2001",4.2,3.6,1.5,9.1,0.597,0.126,0.183,0
Robert Horry,"2001",3.7,1.6,1.4,5.2,0.489,0.078,0.683,0
Allan Houston,"2001",3.6,2.2,0.8,18.7,0.543,0.126,0.585,1
Larry Hughes,"2001",5.5,4.5,2.5,16.5,0.449,0.017,0.207,0
Lindsey Hunter,"2001",2.1,2.7,1.4,10.1,0.5,0.109,0.634,0
Allen Iverson,"2001",3.8,4.6,2.8,31.1,0.518,0.19,0.683,1
Bobby Jackson,"2001",3.1,2.0,1.2,7.2,0.501,0.091,0.671,0
Stephen Jackson,"2001",2.7,1.8,1.3,8.2,0.503,0.026,0.317,0
Antawn Jamison,"2001",8.7,2.0,1.7,24.9,0.499,0.094,0.207,0
Avery Johnson,"2001",1.5,4.3,0.7,5.6,0.475,0.098,0.707,0
Ervin Johnson,"2001",7.5,0.5,1.7,3.2,0.557,0.123,0.634,0
Larry Johnson,"2001",5.6,2.0,1.0,9.9,0.493,0.093,0.585,0
Eddie Jones,"2001",4.6,2.7,2.7,17.4,0.553,0.166,0.61,0
Jason Kidd,"2001",6.4,9.8,2.5,16.9,0.51,0.15,0.622,1
Raef LaFrentz,"2001",7.8,1.4,3.1,12.9,0.544,0.132,0.488,0
Voshon Lenard,"2001",2.9,2.4,1.0,12.2,0.522,0.072,0.488,0
Rashard Lewis,"2001",6.9,1.6,1.7,14.8,0.587,0.142,0.537,0
Grant Long,"2001",4.2,1.3,1.3,6.0,0.51,0.078,0.28,0
George Lynch,"2001",7.2,1.7,1.6,8.4,0.496,0.118,0.683,0
Dan Majerle,"2001",3.1,1.7,1.3,5.0,0.48,0.097,0.61,0
Karl Malone,"2001",8.3,4.5,1.9,23.2,0.572,0.217,0.646,1
Matt Maloney,"2001",2.1,2.8,1.1,6.7,0.508,0.053,0.305,0
Stephon Marbury,"2001",3.1,7.6,1.3,23.9,0.54,0.147,0.317,1
Shawn Marion,"2001",10.7,2.0,3.0,17.3,0.532,0.196,0.622,0
Donyell Marshall,"2001",7.0,1.6,2.0,13.6,0.568,0.174,0.646,0
Kenyon Martin,"2001",7.4,1.9,2.8,12.0,0.472,0.044,0.317,0
Anthony Mason,"2001",9.6,3.1,1.3,16.1,0.555,0.171,0.61,1
Desmond Mason,"2001",3.2,0.8,0.8,5.9,0.483,0.055,0.537,0
George McCloud,"2001",2.9,3.7,1.1,9.6,0.496,0.062,0.488,0
Antonio McDyess,"2001",12.1,2.1,2.1,20.8,0.538,0.146,0.488,1
Tracy McGrady,"2001",7.5,4.6,3.0,26.8,0.521,0.189,0.524,1
Jeff McInnis,"2001",2.7,5.5,1.0,12.9,0.521,0.117,0.378,0
Aaron McKie,"2001",4.1,5.0,1.5,11.6,0.549,0.118,0.683,0
Ron Mercer,"2001",3.9,3.3,1.7,19.7,0.492,0.035,0.183,0
Darius Miles,"2001",5.9,1.2,2.2,9.4,0.518,0.068,0.378,0
Andre Miller,"2001",4.4,8.0,1.8,15.8,0.541,0.136,0.366,0
Brad Miller,"2001",7.4,1.9,1.2,8.9,0.52,0.114,0.183,0
Mike Miller,"2001",4.0,1.7,0.9,11.9,0.541,0.106,0.524,0
Reggie Miller,"2001",3.5,3.2,1.2,18.9,0.574,0.155,0.5,0
Cuttino Mobley,"2001",5.0,2.5,1.4,19.5,0.541,0.13,0.549,0
Lamond Murray,"2001",4.4,1.6,1.4,12.8,0.49,0.05,0.366,0
Steve Nash,"2001",3.2,7.3,1.1,15.6,0.603,0.169,0.646,0
Johnny Newman,"2001",2.1,1.4,0.9,10.9,0.542,0.081,0.317,0
Moochie Norris,"2001",2.4,3.5,0.9,6.6,0.546,0.126,0.549,0
Dirk Nowitzki,"2001",9.2,2.1,2.2,21.8,0.601,0.224,0.646,1
Jermaine O'Neal,"2001",9.8,1.2,3.4,12.9,0.501,0.116,0.5,0
Shaquille O'Neal,"2001",12.7,3.7,3.4,28.7,0.574,0.245,0.683,1
Charles Oakley,"2001",9.5,3.4,1.6,9.6,0.439,0.065,0.573,0
Lamar Odom,"2001",7.8,5.2,2.6,17.2,0.536,0.111,0.378,0
Hakeem Olajuwon,"2001",7.4,1.2,2.7,11.9,0.526,0.155,0.549,0
Michael Olowokandi,"2001",6.4,0.6,1.7,8.5,0.451,-0.008,0.378,0
Bo Outlaw,"2001",7.7,2.8,3.0,7.3,0.623,0.15,0.524,0
Ruben Patterson,"2001",5.0,2.1,1.9,13.0,0.544,0.128,0.537,0
Gary Payton,"2001",4.6,8.1,1.9,23.1,0.522,0.16,0.537,1
Anthony Peeler,"2001",2.6,2.6,1.5,10.5,0.513,0.071,0.573,0
Morris Peterson,"2001",3.2,1.3,1.0,9.3,0.507,0.096,0.573,0
Eric Piatkowski,"2001",3.0,1.2,0.8,10.6,0.572,0.123,0.378,0
Paul Pierce,"2001",6.4,3.1,2.5,25.3,0.563,0.16,0.439,0
Scottie Pippen,"2001",5.2,4.6,2.0,11.3,0.541,0.115,0.61,0
Scot Pollard,"2001",6.0,0.6,1.9,6.5,0.53,0.157,0.671,0
Olden Polynice,"2001",4.7,0.4,1.3,5.3,0.484,0.058,0.646,0
Chris Porter,"2001",3.7,1.2,1.0,8.6,0.434,0.008,0.207,0
Terry Porter,"2001",2.5,3.1,0.8,7.2,0.583,0.154,0.707,0
James Posey,"2001",5.3,2.0,1.6,8.1,0.511,0.08,0.488,0
Vitaly Potapenko,"2001",6.0,0.8,0.9,7.5,0.517,0.087,0.439,0
Theo Ratliff,"2001",8.3,1.2,4.3,12.4,0.562,0.138,0.683,1
Bryant Reeves,"2001",6.0,1.1,1.3,8.3,0.506,0.075,0.28,0
Glen Rice,"2001",4.1,1.2,0.7,12.0,0.54,0.123,0.585,0
Clifford Robinson,"2001",4.1,2.9,2.1,16.4,0.501,0.095,0.622,0
David Robinson,"2001",8.6,1.5,3.5,14.4,0.559,0.246,0.707,1
Glenn Robinson,"2001",6.9,3.3,1.9,22.0,0.525,0.114,0.634,1
Rodney Rogers,"2001",4.4,2.2,1.8,12.2,0.507,0.104,0.622,0
Sean Rooks,"2001",3.7,0.9,1.2,5.4,0.487,0.07,0.378,0
Jalen Rose,"2001",5.0,6.0,1.5,20.5,0.53,0.119,0.5,0
Malik Rose,"2001",5.4,0.8,1.7,7.7,0.498,0.131,0.707,0
Bryon Russell,"2001",4.2,2.1,1.5,12.0,0.565,0.133,0.646,0
Arvydas Sabonis,"2001",5.4,1.5,1.7,10.1,0.527,0.138,0.61,0
Brian Shaw,"2001",3.8,3.2,1.0,5.3,0.479,0.067,0.683,0
Joe Smith,"2001",7.1,1.1,1.4,12.3,0.475,0.11,0.39,0
Michael Smith,"2001",7.1,1.3,1.2,3.8,0.527,0.108,0.232,0
Steve Smith,"2001",3.4,2.6,0.9,13.6,0.587,0.155,0.61,0
Eric Snow,"2001",3.3,7.4,1.7,9.8,0.488,0.105,0.683,0
Latrell Sprewell,"2001",4.5,3.5,1.7,17.7,0.497,0.082,0.585,1
Jerry Stackhouse,"2001",3.9,5.1,1.9,29.8,0.521,0.137,0.39,1
John Starks,"2001",2.1,2.4,1.1,9.3,0.476,0.048,0.646,0
Bryant Stith,"2001",3.6,2.2,1.4,9.7,0.538,0.093,0.439,0
John Stockton,"2001",2.8,8.7,1.9,11.5,0.61,0.216,0.646,0
Peja Stojakovic,"2001",5.8,2.2,1.4,20.4,0.576,0.168,0.671,0
Damon Stoudamire,"2001",3.7,5.7,1.4,13.0,0.519,0.121,0.61,0
Bob Sura,"2001",4.3,4.6,1.2,11.1,0.487,0.003,0.207,0
Wally Szczerbiak,"2001",5.5,3.2,1.1,14.0,0.566,0.125,0.573,0
Maurice Taylor,"2001",5.5,1.5,1.0,13.0,0.518,0.077,0.549,0
Jason Terry,"2001",3.3,4.9,1.4,19.7,0.531,0.1,0.305,0
Kenny Thomas,"2001",5.6,1.0,1.1,7.1,0.507,0.058,0.549,0
Kurt Thomas,"2001",6.7,0.8,1.7,10.4,0.566,0.185,0.585,0
Tim Thomas,"2001",4.1,1.8,1.6,12.6,0.549,0.126,0.634,0
Nick Van Exel,"2001",3.4,8.5,1.1,17.7,0.515,0.114,0.488,0
Keith Van Horn,"2001",7.1,1.7,1.2,17.0,0.526,0.079,0.317,0
Jacque Vaughn,"2001",1.8,3.9,0.6,6.1,0.535,0.088,0.646,0
Antoine Walker,"2001",8.9,5.5,2.3,23.4,0.505,0.093,0.439,0
Ben Wallace,"2001",13.2,1.5,3.7,6.4,0.47,0.121,0.39,0
Rasheed Wallace,"2001",7.8,2.8,2.9,19.2,0.56,0.18,0.61,1
Charlie Ward,"2001",2.6,4.5,1.3,7.1,0.536,0.127,0.585,0
Clarence Weatherspoon,"2001",9.7,1.3,2.3,11.3,0.563,0.148,0.366,0
Chris Webber,"2001",11.1,4.2,3.0,27.1,0.516,0.186,0.671,1
Bonzi Wells,"2001",4.9,2.8,1.5,12.7,0.571,0.143,0.61,0
Jahidi White,"2001",7.7,0.3,2.1,8.6,0.535,0.061,0.232,0
Chris Whitney,"2001",1.8,4.2,1.0,9.5,0.537,0.072,0.232,0
Aaron Williams,"2001",7.2,1.1,2.1,10.2,0.533,0.107,0.317,0
Alvin Williams,"2001",2.6,5.0,1.8,9.8,0.483,0.109,0.573,0
Eric Williams,"2001",2.6,1.4,1.0,6.6,0.487,0.06,0.439,0
Jason Williams,"2001",2.4,5.4,1.3,9.4,0.498,0.079,0.671,0
Walt Williams,"2001",3.4,1.3,0.8,8.3,0.527,0.09,0.549,0
Metta World Peace,"2001",3.9,3.0,2.6,11.9,0.483,0.039,0.183,0
