"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Sidney Moncrief,"1986",28,1,3,4,4,1,0,2,20,20.0,0.604,0.107,0.603,8.3,3.4,11.7,0.219,4.2,0.7,4.9,4.5,1,1,0.695
Hakeem Olajuwon,"1986",23,4,6,11,2,1,3,2,23,24.2,0.56,0.0,0.453,5.3,4.2,9.5,0.186,2.9,1.2,4.0,3.8,1,1,0.622
Alvin Robertson,"1986",23,2,4,6,5,3,0,3,16,19.5,0.563,0.027,0.299,4.0,4.6,8.6,0.143,1.5,3.3,4.7,4.9,1,1,0.427
Isiah Thomas,"1986",24,1,2,3,10,2,0,3,20,21.2,0.554,0.067,0.37,6.1,2.7,8.8,0.151,4.3,0.7,5.0,4.9,1,1,0.561
Dominique Wilkins,"1986",26,3,4,7,2,1,0,3,30,23.3,0.536,0.037,0.372,7.0,3.9,10.8,0.17,4.6,-0.5,4.2,4.8,1,1,0.61
Charles Barkley,"1987",23,5,8,14,4,1,1,4,23,25.1,0.66,0.111,0.602,7.7,4.3,12.0,0.21,5.4,1.3,6.7,6.0,1,1,0.549
Larry Bird,"1987",30,1,7,9,7,1,0,3,28,26.4,0.612,0.15,0.304,10.4,4.8,15.2,0.243,7.3,2.0,9.4,8.6,1,1,0.72
Magic Johnson,"1987",27,1,4,6,12,1,0,3,23,27.0,0.602,0.03,0.482,12.1,3.8,15.9,0.263,7.5,1.3,8.8,8.0,1,1,0.793
Michael Jordan,"1987",23,2,3,5,4,2,1,3,37,29.8,0.562,0.029,0.427,11.9,5.0,16.9,0.247,8.4,2.4,10.8,10.6,1,1,0.488
Moses Malone,"1987",31,4,6,11,1,0,1,2,24,23.8,0.545,0.008,0.528,6.0,3.4,9.4,0.182,4.3,-1.5,2.8,3.0,1,1,0.512
Kevin McHale,"1987",29,3,6,9,2,0,2,2,26,24.0,0.655,0.003,0.392,10.8,4.0,14.8,0.232,4.7,0.4,5.1,5.5,1,1,0.72
Hakeem Olajuwon,"1987",24,4,7,11,2,1,3,3,23,23.8,0.554,0.004,0.428,4.9,6.0,10.9,0.189,3.1,2.7,5.8,5.4,1,1,0.512
Isiah Thomas,"1987",25,1,2,3,10,1,0,4,20,18.8,0.528,0.072,0.385,3.8,3.8,7.6,0.121,2.9,0.4,3.3,4.0,1,1,0.634
Dominique Wilkins,"1987",27,2,3,6,3,1,0,2,29,23.5,0.543,0.059,0.415,8.4,3.7,12.2,0.197,5.5,0.0,5.5,5.6,1,1,0.695
Charles Barkley,"1988",24,4,7,11,3,1,1,3,28,27.6,0.665,0.122,0.741,13.4,3.3,16.7,0.253,7.3,0.1,7.4,7.5,1,1,0.439
Larry Bird,"1988",31,1,7,9,6,1,0,2,29,27.8,0.608,0.142,0.271,11.2,3.8,15.0,0.243,7.8,1.0,8.8,8.1,1,1,0.695
Clyde Drexler,"1988",25,3,3,6,5,2,0,2,26,24.1,0.564,0.031,0.35,9.3,3.9,13.2,0.207,5.7,1.4,7.0,7.0,1,1,0.646
Patrick Ewing,"1988",25,2,5,8,1,1,2,3,20,21.9,0.594,0.003,0.402,3.4,4.7,8.1,0.154,1.9,2.4,4.2,4.0,1,1,0.463
Magic Johnson,"1988",28,1,5,6,11,1,0,3,19,23.1,0.581,0.056,0.491,7.8,3.1,10.9,0.199,5.2,0.8,6.0,5.3,1,1,0.756
Michael Jordan,"1988",24,1,3,5,5,3,1,3,34,31.7,0.603,0.027,0.43,15.2,6.1,21.2,0.308,8.8,4.2,13.0,12.5,1,1,0.61
Hakeem Olajuwon,"1988",25,3,8,12,2,2,2,3,22,23.4,0.555,0.003,0.396,4.4,6.3,10.7,0.182,2.2,2.2,4.4,4.6,1,1,0.561
Dominique Wilkins,"1988",28,2,3,6,2,1,0,2,30,23.7,0.534,0.066,0.335,7.0,2.8,9.8,0.16,5.4,-1.1,4.3,4.7,1,1,0.61
Charles Barkley,"1989",25,5,7,12,4,1,0,3,25,27.0,0.653,0.134,0.661,13.2,2.9,16.1,0.25,7.3,0.2,7.5,7.4,1,1,0.561
Tom Chambers,"1989",29,1,6,8,2,1,0,2,25,19.3,0.547,0.052,0.364,5.1,4.1,9.2,0.146,1.6,-0.2,1.4,2.6,1,1,0.671
Terry Cummings,"1989",27,3,4,8,2,1,0,2,22,19.7,0.518,0.01,0.294,4.2,3.5,7.7,0.131,2.0,-0.8,1.2,2.3,1,1,0.598
Dale Ellis,"1989",28,1,2,4,2,1,0,2,27,19.7,0.589,0.198,0.27,9.2,1.6,10.8,0.163,4.3,-1.6,2.7,3.8,1,1,0.573
Patrick Ewing,"1989",26,2,6,9,2,1,3,3,22,22.1,0.607,0.005,0.378,6.2,4.7,10.9,0.181,2.3,2.3,4.5,4.8,1,1,0.634
Magic Johnson,"1989",29,1,6,7,12,1,0,4,22,26.9,0.625,0.165,0.495,12.1,4.0,16.1,0.267,7.3,2.0,9.4,8.3,1,1,0.695
Michael Jordan,"1989",25,1,6,8,8,2,0,3,32,31.1,0.614,0.055,0.442,14.6,5.2,19.8,0.292,8.4,3.4,11.9,11.4,1,1,0.573
Chris Mullin,"1989",25,1,4,5,5,2,0,3,26,21.9,0.581,0.061,0.339,7.5,3.1,10.6,0.165,3.7,0.3,4.0,4.7,1,1,0.524
