Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Rudy Gay,gayru01,2022,PF,35,UTA,5,86,20.8,.748,.581,.129,2.7,24.0,13.9,7.5,0.0,1.9,10.9,18.5,0.3,0.1,0.4,.220,4.9,-0.2,4.6,0.1
Paul George,georgpa01,2022,SF,31,LAC,19,675,19.7,.535,.400,.203,1.4,20.3,11.2,26.7,2.6,1.1,14.1,34.2,0.1,1.4,1.5,.108,2.6,1.0,3.6,1.0
Taj Gibson,gibsota01,2022,C,36,NYK,10,202,10.2,.538,.103,.276,10.9,15.6,13.3,5.5,1.0,6.7,21.7,9.0,0.2,0.2,0.4,.093,-4.9,1.0,-3.9,-0.1
Josh Giddey,giddejo01,2022,SG,19,OKC,19,562,13.5,.461,.308,.123,5.5,19.4,12.3,31.6,1.6,1.9,19.2,21.0,-0.3,0.7,0.4,.031,-1.8,0.0,-1.9,0.0
Shai Gilgeous-Alexander,gilgesh01,2022,PG,23,OKC,17,593,16.0,.514,.397,.288,1.7,13.5,7.5,23.6,1.5,1.3,11.5,27.2,0.3,0.6,0.9,.069,0.7,-0.8,-0.1,0.3
Anthony Gill,gillan01,2022,PF,29,WAS,5,31,20.1,.750,.250,.000,14.3,16.4,15.4,5.0,0.0,5.3,11.1,12.9,0.1,0.0,0.1,.219,2.9,0.3,3.2,0.0
Rudy Gobert,goberru01,2022,C,29,UTA,19,601,25.5,.739,.007,.901,10.8,38.5,25.4,4.0,1.5,5.8,15.5,16.8,2.1,1.4,3.6,.285,2.7,2.0,4.7,1.0
Aaron Gordon,gordoaa01,2022,PF,26,DEN,19,598,16.4,.592,.265,.255,7.1,14.5,10.7,10.5,0.9,2.5,11.7,18.4,1.1,0.5,1.6,.128,0.2,-0.6,-0.4,0.2
Eric Gordon,gordoer01,2022,SG,33,HOU,15,431,11.8,.579,.493,.253,0.7,7.3,4.0,12.3,1.1,2.2,15.7,19.2,0.1,0.2,0.4,.041,-0.4,-1.3,-1.8,0.0
Devonte' Graham,grahade01,2022,PG,26,NOP,18,565,14.2,.527,.621,.198,2.4,6.3,4.3,24.7,1.8,0.6,12.5,21.8,0.6,0.2,0.8,.064,0.8,-2.0,-1.2,0.1
Jerami Grant,grantje01,2022,PF,27,DET,18,588,16.5,.522,.360,.364,2.9,13.8,7.8,13.0,1.9,2.7,8.9,26.2,0.4,0.5,0.9,.076,0.6,-0.3,0.3,0.3
Danny Green,greenda02,2022,SF,34,PHI,12,280,14.6,.676,.866,.060,2.8,8.6,5.7,6.0,3.4,3.2,13.8,12.8,0.4,0.3,0.7,.118,1.2,0.9,2.1,0.3
Draymond Green,greendr01,2022,PF,31,GSW,18,540,16.1,.607,.184,.398,4.6,23.3,14.5,34.5,1.8,3.1,30.9,14.0,0.9,1.2,2.1,.189,-0.1,4.0,3.9,0.8
Jalen Green,greenja05,2022,SG,19,HOU,18,555,8.3,.498,.504,.250,1.3,9.2,5.2,12.5,0.9,0.7,16.2,22.8,-0.7,0.3,-0.4,-0.033,-3.2,-2.6,-5.8,-0.5
JaMychal Green,greenja01,2022,PF,31,DEN,19,284,11.3,.510,.442,.189,7.6,19.1,13.3,8.3,2.8,2.3,19.5,20.1,-0.2,0.4,0.2,.037,-4.9,0.4,-4.5,-0.2
Javonte Green,greenja02,2022,SG,28,CHI,20,392,12.3,.581,.271,.235,8.4,15.9,12.1,4.2,2.2,1.6,13.8,12.2,0.5,0.6,1.0,.127,-1.8,-0.3,-2.0,0.0
Jeff Green,greenje02,2022,C,35,DEN,19,443,11.7,.566,.360,.382,2.0,10.5,6.2,6.6,0.6,1.7,9.1,17.6,0.5,0.3,0.8,.082,-2.4,-1.4,-3.8,-0.2
Josh Green,greenjo02,2022,SG,21,DAL,8,39,6.7,.333,.222,.000,10.4,17.0,13.5,10.7,1.3,2.3,18.2,12.5,0.0,0.0,0.0,-0.007,-5.1,-0.7,-5.9,0.0
Blake Griffin,griffbl01,2022,PF,32,BRK,17,369,8.7,.397,.523,.215,6.2,17.1,11.9,12.6,1.2,2.4,7.1,15.1,-0.1,0.5,0.4,.051,-4.0,0.0,-4.0,-0.2
Quentin Grimes,grimequ01,2022,SG,21,NYK,7,40,4.1,.500,.917,.000,5.3,10.5,7.9,0.0,0.0,0.0,14.3,15.3,0.0,0.0,0.0,-0.026,-4.0,-4.2,-8.2,-0.1
Tyrese Haliburton,halibty01,2022,SG,21,SAC,18,605,15.8,.538,.394,.114,3.4,9.1,6.2,22.7,2.8,2.1,14.0,16.5,0.8,0.5,1.3,.100,1.2,1.1,2.3,0.6
R.J. Hampton,hamptrj01,2022,SG,20,ORL,20,382,10.7,.513,.409,.280,2.2,15.2,8.6,19.9,1.3,1.0,16.8,19.9,-0.1,0.2,0.0,.006,-1.8,-1.2,-3.0,-0.1
Tim Hardaway Jr.,hardati02,2022,SG,29,DAL,17,564,12.4,.509,.557,.175,0.7,12.5,6.4,11.9,1.2,0.2,3.5,20.0,0.5,0.4,0.9,.075,-0.9,-1.7,-2.7,-0.1
James Harden,hardeja01,2022,PG,32,BRK,19,665,21.4,.604,.534,.493,3.0,19.0,11.3,39.7,2.0,1.9,22.2,27.9,1.4,1.0,2.4,.176,3.3,0.5,3.8,1.0
Maurice Harkless,harklma01,2022,SF,28,SAC,16,327,6.2,.480,.615,.169,1.0,13.5,7.3,3.6,1.2,2.1,9.1,10.0,-0.1,0.2,0.1,.018,-3.8,-0.5,-4.4,-0.2
Montrezl Harrell,harremo01,2022,C,28,WAS,19,525,27.8,.699,.032,.557,11.2,22.1,16.9,13.6,1.0,2.2,9.4,21.5,2.6,0.7,3.3,.305,5.8,0.9,6.7,1.2
Gary Harris,harriga01,2022,SG,27,ORL,14,323,4.5,.411,.391,.043,4.2,3.9,4.1,11.3,0.8,0.3,13.0,14.2,-0.3,-0.1,-0.4,-0.057,-5.3,-2.8,-8.1,-0.5
Joe Harris,harrijo01,2022,SF,30,BRK,14,423,10.1,.624,.710,.048,1.3,12.1,6.9,4.8,0.8,0.4,11.2,14.9,0.3,0.4,0.7,.077,-1.2,-1.0,-2.2,0.0
Tobias Harris,harrito02,2022,PF,29,PHI,11,365,21.2,.576,.247,.187,3.3,23.9,13.7,21.3,0.3,1.5,10.0,27.1,0.8,0.2,1.0,.128,3.2,-2.3,0.9,0.3
Josh Hart,hartjo01,2022,PF,26,NOP,17,515,15.9,.608,.269,.303,3.5,17.9,10.5,18.9,1.5,1.2,12.3,15.5,1.1,0.3,1.4,.133,0.6,0.5,1.1,0.4
Isaiah Hartenstein,harteis01,2022,C,23,LAC,18,287,23.6,.664,.023,.345,12.8,20.4,16.7,15.2,2.7,5.3,15.2,17.9,0.9,0.7,1.6,.269,0.5,3.5,4.0,0.4
Udonis Haslem,hasleud01,2022,C,41,MIA,4,17,12.0,.500,.167,.000,6.7,25.2,16.3,9.2,0.0,6.6,0.0,15.5,0.0,0.0,0.1,.155,-6.0,0.8,-5.1,0.0
Sam Hauser,hausesa01,2022,F,24,BOS,2,5,-6.6,.000,1.000,.000,0.0,21.6,10.6,0.0,9.9,0.0,0.0,17.5,0.0,0.0,0.0,-0.259,-21.7,9.0,-12.6,0.0
Jaxson Hayes,hayesja02,2022,C,21,NOP,17,217,16.1,.566,.101,.493,11.1,17.5,14.2,3.0,0.9,5.0,11.6,18.7,0.3,0.2,0.5,.110,-2.5,-1.5,-4.1,-0.1
Killian Hayes,hayeski01,2022,PG,20,DET,14,347,8.2,.423,.404,.112,3.1,13.0,7.6,21.4,3.1,1.3,21.1,14.6,-0.4,0.4,0.0,-0.003,-5.7,1.2,-4.5,-0.2
Gordon Hayward,haywago01,2022,SF,31,CHO,21,706,15.6,.578,.347,.259,2.5,13.0,7.6,14.9,1.2,1.6,12.3,20.7,1.0,0.3,1.4,.094,0.8,-1.5,-0.7,0.2
Aaron Henry,henryaa01,2022,SF,22,PHI,1,2,-20.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,-0.586,-18.8,-13.1,-31.9,0.0
Juan Hernangomez,hernaju01,2022,PF,26,BOS,11,39,5.6,.340,.571,.357,8.0,19.4,13.6,0.0,5.1,0.0,15.6,21.6,-0.1,0.1,-0.1,-0.073,-7.6,-1.3,-8.9,-0.1
Willy Hernangomez,hernawi01,2022,C,27,NOP,7,83,33.4,.753,.061,.424,8.8,36.6,22.4,28.8,2.4,2.2,13.3,23.2,0.4,0.1,0.6,.335,8.0,4.5,12.5,0.3
Tyler Herro,herroty01,2022,SG,22,MIA,18,604,17.4,.562,.405,.143,2.5,15.9,9.4,19.4,0.8,0.2,13.0,29.1,0.7,0.7,1.4,.107,2.7,-1.2,1.5,0.5
Buddy Hield,hieldbu01,2022,SG,29,SAC,20,585,15.9,.569,.745,.131,2.7,13.0,7.9,11.8,1.2,0.7,9.7,24.7,0.9,0.2,1.1,.090,3.5,-2.0,1.6,0.5
George Hill,hillge01,2022,SG,35,MIL,19,515,10.8,.566,.449,.127,3.7,9.7,6.8,13.5,1.4,0.5,13.2,12.0,0.7,0.4,1.1,.103,-1.8,-0.6,-2.4,0.0
