Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Kenny Carr,carrke01,1982,PF,26,CLE,46,1482,15.3,.554,.017,.420,8.2,22.7,15.0,6.3,1.9,0.6,15.3,20.4,,1.1,1.2,2.3,.075,,-0.6,-0.6,-1.2,0.3
Kenny Carr,carrke01,1982,PF,26,DET,28,444,12.7,.507,.006,.488,12.7,21.4,16.9,7.2,0.6,0.7,16.4,21.5,,0.1,0.4,0.6,.063,,-2.4,-1.7,-4.1,-0.2
M.L. Carr,carrml01,1982,SF,31,BOS,56,1296,11.9,.495,.042,.284,4.9,7.8,6.4,12.6,2.4,0.9,12.0,16.2,,1.0,1.8,2.8,.103,,-1.2,1.8,0.5,0.8
Joe Barry Carroll,carrojo01,1982,C,23,GSW,76,2627,15.9,.557,.001,.318,8.6,17.9,13.1,3.4,1.2,2.7,15.1,20.9,,2.6,2.9,5.5,.100,,-0.4,-0.4,-0.8,0.8
Butch Carter,cartebu01,1982,SG,23,IND,75,1035,11.1,.511,.062,.174,3.1,5.3,4.1,8.8,1.6,0.6,11.1,19.6,,0.3,0.9,1.3,.059,,-2.3,-0.3,-2.6,-0.2
Reggie Carter,cartere01,1982,SG,24,NYK,75,923,9.4,.479,.000,.286,4.3,7.6,5.9,18.5,1.9,0.4,19.8,17.6,,-0.3,0.6,0.3,.016,,-3.1,-0.4,-3.5,-0.3
Bill Cartwright,cartwbi01,1982,C,24,NYK,72,2060,16.3,.616,.000,.486,6.3,17.3,11.7,6.0,1.1,1.8,16.5,20.2,,3.2,1.8,5.0,.116,,0.4,-0.4,0.0,1.1
Harvey Catchings,catchha01,1982,PF,30,MIL,80,1603,8.1,.450,.000,.308,9.6,15.6,12.7,7.2,1.3,4.8,27.0,8.9,,-0.6,3.0,2.3,.070,,-3.2,2.8,-0.4,0.6
Bobby Cattage,cattabo01,1982,PF,23,UTA,49,337,10.5,.490,.015,.304,6.9,16.6,11.6,2.8,1.0,0.0,10.5,20.3,,0.1,0.1,0.2,.028,,-3.8,-2.4,-6.2,-0.4
Tom Chambers,chambto01,1982,PF,22,SDC,81,2682,15.0,.553,.002,.434,9.1,16.0,12.5,7.9,1.0,1.0,14.9,22.4,,2.9,0.4,3.3,.059,,-0.2,-2.0,-2.2,-0.1
Maurice Cheeks,cheekma01,1982,PG,25,PHI,79,2498,18.3,.570,.033,.325,2.4,8.5,5.6,34.7,4.0,0.8,19.2,16.0,,4.6,4.0,8.6,.166,,1.8,2.4,4.2,3.9
Jim Chones,choneji01,1982,C,32,WSB,59,867,8.6,.481,.000,.269,5.0,18.1,11.7,9.6,0.8,2.1,17.7,11.2,,0.0,1.4,1.4,.076,,-3.1,2.2,-0.9,0.2
Don Collins,collido02,1982,SG,23,WSB,79,1609,15.1,.543,.018,.259,7.0,6.3,6.7,14.2,2.7,0.8,15.7,22.4,,0.9,2.5,3.4,.101,,-0.3,1.6,1.3,1.3
Darwin Cook,cookda01,1982,PG,23,NJN,82,2090,13.7,.514,.039,.202,2.8,5.6,4.2,21.8,3.3,0.7,16.7,20.0,,0.7,3.2,3.9,.089,,-0.9,1.6,0.7,1.4
Jeff Cook,cookje01,1982,PF,25,PHO,76,1298,10.2,.469,.006,.374,9.8,15.7,12.8,10.0,1.4,1.0,16.1,15.8,,0.0,2.0,2.0,.073,,-2.7,0.2,-2.5,-0.2
Joe Cooper,coopejo01,1982,C,24,NJN,1,11,1.3,.500,.000,.000,10.2,10.4,10.3,0.0,0.0,0.0,33.3,10.9,,0.0,0.0,0.0,-0.026,,-4.6,-0.2,-4.8,0.0
Michael Cooper,coopemi01,1982,SG,25,LAL,76,2197,14.3,.556,.023,.231,4.3,8.8,6.7,12.9,2.5,1.5,15.6,17.5,,2.4,2.6,5.0,.109,,-0.3,1.2,0.9,1.6
Wayne Cooper,coopewa01,1982,C,25,DAL,76,1818,13.8,.461,.012,.239,12.1,22.8,17.3,9.0,1.0,3.4,10.6,18.7,,0.9,1.9,2.9,.076,,-1.8,-0.2,-2.0,0.0
Hollis Copeland,copelho01,1982,SF,26,NYK,18,118,7.5,.455,.000,.158,2.9,2.0,2.4,10.1,1.6,1.0,9.0,15.6,,0.0,0.1,0.1,.029,,-3.8,-0.1,-4.0,-0.1
Dave Corzine,corzida01,1982,C,25,SAS,82,2189,14.9,.561,.006,.329,10.3,20.5,15.4,7.6,0.7,3.2,15.8,16.0,,2.6,2.5,5.2,.113,,-0.1,0.2,0.1,1.1
Charlie Criss,crissch01,1982,PG,33,TOT,55,1392,13.3,.524,.058,.319,1.1,5.9,3.4,19.2,1.5,0.3,12.6,19.5,,1.6,0.4,2.1,.072,,-0.2,-1.1,-1.3,0.2
Charlie Criss,crissch01,1982,PG,33,ATL,27,552,13.6,.485,.038,.348,1.2,6.6,3.9,20.7,2.1,0.2,11.0,21.4,,0.4,0.6,1.0,.089,,-0.8,0.3,-0.5,0.2
Charlie Criss,crissch01,1982,PG,33,SDC,28,840,13.1,.552,.073,.299,1.0,5.4,3.1,18.1,1.2,0.3,13.8,18.3,,1.2,-0.2,1.1,.061,,0.2,-2.1,-1.8,0.0
Geoff Crompton,crompge01,1982,C,26,MIL,35,203,3.6,.363,.000,.469,5.9,16.9,11.6,7.6,1.4,3.4,30.6,11.3,,-0.4,0.4,0.0,-0.011,,-5.8,1.5,-4.3,-0.1
Pat Cummings,cummipa01,1982,PF,25,MIL,78,1132,11.1,.537,.005,.212,6.4,17.9,12.4,12.5,0.9,0.5,18.7,21.0,,0.1,1.7,1.8,.078,,-3.5,-0.1,-3.6,-0.5
Earl Cureton,curetea01,1982,PF,24,PHI,66,956,12.8,.502,.007,.307,11.1,20.3,15.9,4.4,1.5,1.6,11.2,17.0,,0.6,1.5,2.1,.103,,-2.1,-0.5,-2.6,-0.1
Bob Dandridge,dandrbo01,1982,SF,34,MIL,11,174,5.2,.416,.000,.309,2.7,8.3,5.6,9.7,1.4,0.7,15.0,17.4,,-0.2,0.2,0.0,.003,,-4.5,-0.3,-4.8,-0.2
Adrian Dantley,dantlad01,1982,SF,26,UTA,81,3222,24.2,.631,.002,.516,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,,11.9,0.7,12.6,.187,,5.8,-1.7,4.1,5.0
Brad Davis,davisbr01,1982,PG,26,DAL,82,2614,14.5,.569,.064,.298,1.5,8.6,4.9,27.5,1.4,0.1,15.4,16.2,,4.4,1.0,5.4,.100,,0.6,-0.8,-0.2,1.2
Charles Davis,davisch02,1982,SF,23,WSB,54,575,10.7,.514,.011,.201,10.5,14.8,12.6,7.7,0.8,1.3,17.7,17.7,,0.0,0.8,0.9,.072,,-2.9,0.3,-2.6,-0.1
Johnny Davis,davisjo01,1982,SG,26,IND,82,2664,15.2,.526,.023,.342,2.9,4.4,3.6,20.4,1.4,0.2,12.3,23.7,,3.0,2.1,5.1,.091,,0.6,-1.1,-0.6,1.0
Ron Davis,davisro01,1982,SF,27,SDC,7,67,6.6,.416,.000,.240,12.1,11.0,11.6,8.0,0.0,0.0,15.3,19.8,,-0.1,0.0,-0.1,-0.066,,-3.6,-1.5,-5.2,-0.1
Walter Davis,daviswa03,1982,SF,27,PHO,55,1182,18.3,.553,.024,.166,2.0,7.5,4.8,23.3,1.9,0.1,13.5,29.0,,1.2,1.4,2.7,.109,,1.4,-0.6,0.8,0.8
Darryl Dawkins,dawkida01,1982,C,25,PHI,48,1124,15.0,.601,.005,.447,7.1,22.8,15.3,6.7,0.8,2.8,17.9,19.8,,1.1,1.8,2.9,.122,,-2.0,0.4,-1.6,0.1
